site1305,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142447792,    0.0000,   -48.850,      0.110,  1.67000    ,  1.67000    , 0.183870    , "CONC", "data                      ", "calculated_from_conc      "
   2, 142447793,    0.0025,   -46.579,      0.107,  3.33000    ,  3.33000    , 0.357488    , "CONC", "data                      ", "calculated_from_conc      "
   3, 142447794,    0.0050,   -44.193,      0.102,  3.33000    ,  3.33000    , 0.340491    , "CONC", "data                      ", "calculated_from_conc      "
   4, 142447795,    0.0075,   -41.689,      0.098,  5.00000    ,  5.00000    , 0.488042    , "CONC", "data                      ", "calculated_from_conc      "
   5, 142447796,    0.0100,   -39.070,      0.093,  7.33000    ,  7.33000    , 0.684407    , "CONC", "data                      ", "calculated_from_conc      "
   6, 142447797,    0.0125,   -36.334,      0.089,  13.0000    ,  13.0000    ,  1.16331    , "CONC", "data                      ", "calculated_from_conc      "
   7, 142447798,    0.0150,   -33.482,      0.086,  8.33000    ,  8.33000    , 0.715636    , "CONC", "data                      ", "calculated_from_conc      "
   8, 142447799,    0.0175,   -30.514,      0.083,  7.67000    ,  7.67000    , 0.633623    , "CONC", "data                      ", "calculated_from_conc      "
   9, 142447800,    0.0200,   -27.430,      0.080,  10.6700    ,  10.6700    , 0.848847    , "CONC", "data                      ", "calculated_from_conc      "
  10, 142447801,    0.0225,   -24.229,      0.077,  12.3300    ,  12.3300    , 0.945914    , "CONC", "data                      ", "calculated_from_conc      "
  11, 142447802,    0.0250,   -20.913,      0.074,  19.3300    ,  19.3300    ,  1.43185    , "CONC", "data                      ", "calculated_from_conc      "
  12, 142447803,    0.0275,   -17.479,      0.072,  19.6700    ,  19.6700    ,  1.40852    , "CONC", "data                      ", "calculated_from_conc      "
  13, 142447804,    0.0300,   -13.930,      0.069,  22.3300    ,  22.3300    ,  1.54747    , "CONC", "data                      ", "calculated_from_conc      "
  14, 142447805,    0.0325,   -10.264,      0.067,  24.3300    ,  24.3300    ,  1.63344    , "CONC", "data                      ", "calculated_from_conc      "
  15, 142447806,    0.0350,    -6.483,      0.065,  50.0000    ,  50.0000    ,  3.25521    , "CONC", "data                      ", "calculated_from_conc      "
  16, 142447807,    0.0375,    -2.584,      0.063,  50.0000    ,  50.0000    ,  3.15955    , "CONC", "data                      ", "calculated_from_conc      "
  17, 142447808,    0.0400,     1.430,      0.061,  50.0000    ,  50.0000    ,  3.06937    , "CONC", "data                      ", "calculated_from_conc      "
  18, 142447809,    0.0425,     5.561,      0.060,  41.3300    ,  41.3300    ,  2.46673    , "CONC", "data                      ", "calculated_from_conc      "
  19, 142447810,    0.0450,     9.807,      0.058,  61.0000    ,  61.0000    ,  3.54239    , "CONC", "data                      ", "calculated_from_conc      "
  20, 142447811,    0.0475,    14.171,      0.057,  64.6700    ,  64.6700    ,  3.65677    , "CONC", "data                      ", "calculated_from_conc      "
  21, 142447812,    0.0500,    18.650,      0.055,  131.330    ,  131.330    ,  7.23581    , "CONC", "data                      ", "calculated_from_conc      "
  22, 142447813,    0.0525,    23.246,      0.054,  151.330    ,  151.330    ,  8.12947    , "CONC", "data                      ", "calculated_from_conc      "
  23, 142447814,    0.0550,    27.958,      0.052,  112.330    ,  112.330    ,  5.88732    , "CONC", "data                      ", "calculated_from_conc      "
  24, 142447815,    0.0575,    32.786,      0.051,  71.6700    ,  71.6700    ,  3.66692    , "CONC", "data                      ", "calculated_from_conc      "
  25, 142447816,    0.0600,    37.730,      0.050,  113.670    ,  113.670    ,  5.68066    , "CONC", "data                      ", "calculated_from_conc      "
  26, 142447817,    0.0625,    42.791,      0.049,  56.3300    ,  56.3300    ,  2.75116    , "CONC", "data                      ", "calculated_from_conc      "
  27, 142447818,    0.0650,    47.967,      0.048,  63.0000    ,  63.0000    ,  3.00860    , "CONC", "data                      ", "calculated_from_conc      "
  28, 142447819,    0.0675,    53.261,      0.047,  42.0000    ,  42.0000    ,  1.96216    , "CONC", "data                      ", "calculated_from_conc      "
  29, 142447820,    0.0700,    58.670,      0.046,  54.0000    ,  54.0000    ,  2.46913    , "CONC", "data                      ", "calculated_from_conc      "
  30, 142447821,    0.0725,    64.196,      0.045,  61.6700    ,  61.6700    ,  2.76114    , "CONC", "data                      ", "calculated_from_conc      "
  31, 142447822,    0.0750,    69.838,      0.044,  43.6700    ,  43.6700    ,  1.91535    , "CONC", "data                      ", "calculated_from_conc      "
  32, 142447823,    0.0775,    75.596,      0.043,  19.0000    ,  19.0000    , 0.816677    , "CONC", "data                      ", "calculated_from_conc      "
  33, 142447824,    0.0800,    81.470,      0.042,  12.0000    ,  12.0000    , 0.505690    , "CONC", "data                      ", "calculated_from_conc      "
  34, 142447825,    0.0825,    87.461,      0.041,  16.6700    ,  16.6700    , 0.688985    , "CONC", "data                      ", "calculated_from_conc      "
  35, 142447826,    0.0850,    93.567,      0.041,  22.0000    ,  22.0000    , 0.892132    , "CONC", "data                      ", "calculated_from_conc      "
  36, 142447827,    0.0875,    99.791,      0.040,  20.3300    ,  20.3300    , 0.809156    , "CONC", "data                      ", "calculated_from_conc      "
  37, 142447828,    0.0900,   106.130,      0.039,  30.0000    ,  30.0000    ,  1.17233    , "CONC", "data                      ", "calculated_from_conc      "
  38, 142447829,    0.0925,   112.586,      0.036,  52.0000    ,  52.0000    ,  1.86842    , "CONC", "data                      ", "calculated_from_conc      "
  39, 142447830,    0.0950,   120.046,      0.021,  65.3300    ,  65.3300    ,  1.35773    , "CONC", "data                      ", "calculated_from_conc      "
  40, 142447831,    0.0975,   136.644,      0.015,  22.0000    ,  22.0000    , 0.331352    , "CONC", "data                      ", "calculated_from_conc      "
  41, 142447832,    0.1000,   153.243,      0.015,  23.6700    ,  23.6700    , 0.356503    , "CONC", "data                      ", "calculated_from_conc      "
  42, 142447833,    0.1025,   169.842,      0.015,  30.6700    ,  30.6700    , 0.461933    , "CONC", "data                      ", "calculated_from_conc      "
