site1904,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,         1,    0.0000,   -61.000,     11.614,  1.50000    ,  1.50000    ,  17.4216    , "CONC", "data                      ", "calculated_from_conc      "
   2,         2,    1.0000,   -52.390,     11.614,  1.00000    ,  1.00000    ,  11.6144    , "CONC", "data                      ", "calculated_from_conc      "
   3,         3,    2.0000,   -43.780,     11.614,  11.5000    ,  11.5000    ,  133.566    , "CONC", "data                      ", "calculated_from_conc      "
   4,         4,    3.0000,   -35.170,     11.614,  2.00000    ,  2.00000    ,  23.2288    , "CONC", "data                      ", "calculated_from_conc      "
   5,         5,    4.0000,   -26.560,     11.614,  4.50000    ,  4.50000    ,  52.2648    , "CONC", "data                      ", "calculated_from_conc      "
   6,         6,    5.0000,   -17.950,     11.614,  4.00000    ,  4.00000    ,  46.4576    , "CONC", "data                      ", "calculated_from_conc      "
   7,         7,    6.0000,    -9.340,     11.621,  3.50000    ,  3.50000    ,  40.6740    , "CONC", "data                      ", "calculated_from_conc      "
   8,         8,    7.0000,    -0.740,     11.621, 0.500000    , 0.500000    ,  5.81058    , "CONC", "data                      ", "calculated_from_conc      "
   9,         9,    8.0000,     7.870,     11.621,  4.50000    ,  4.50000    ,  52.2952    , "CONC", "data                      ", "calculated_from_conc      "
  10,        10,    9.0000,    16.470,     11.621,  4.00000    ,  4.00000    ,  46.4846    , "CONC", "data                      ", "calculated_from_conc      "
  11,        11,   10.0000,    25.080,     11.621,  2.00000    ,  2.00000    ,  23.2423    , "CONC", "data                      ", "calculated_from_conc      "
  12,        12,   11.0000,    33.680,     11.628,  1.00000    ,  1.00000    ,  11.6279    , "CONC", "data                      ", "calculated_from_conc      "
  13,        13,   12.0000,    42.280,     11.628,  1.00000    ,  1.00000    ,  11.6279    , "CONC", "data                      ", "calculated_from_conc      "
  14,        14,   13.0000,    50.880,     11.635,  3.00000    ,  3.00000    ,  34.9040    , "CONC", "data                      ", "calculated_from_conc      "
  15,        15,   14.0000,    59.470,     11.635,  3.00000    ,  3.00000    ,  34.9040    , "CONC", "data                      ", "calculated_from_conc      "
  16,        16,   15.0000,    68.070,     11.635,  8.50000    ,  8.50000    ,  98.8946    , "CONC", "data                      ", "calculated_from_conc      "
  17,        17,   16.0000,    76.660,     11.641,  17.0000    ,  17.0000    ,  197.905    , "CONC", "data                      ", "calculated_from_conc      "
  18,        18,   17.0000,    85.250,     11.641,  15.0000    ,  15.0000    ,  174.622    , "CONC", "data                      ", "calculated_from_conc      "
  19,        19,   18.0000,    93.840,     11.648,  12.5000    ,  12.5000    ,  145.603    , "CONC", "data                      ", "calculated_from_conc      "
  20,        20,   19.0000,   102.420,     11.655,  21.0000    ,  21.0000    ,  244.755    , "CONC", "data                      ", "calculated_from_conc      "
  21,        21,   20.0000,   111.000,     11.655,  19.5000    ,  19.5000    ,  227.273    , "CONC", "data                      ", "calculated_from_conc      "
  22,        22,   21.0000,   119.580,     11.655,  30.5000    ,  30.5000    ,  355.478    , "CONC", "data                      ", "calculated_from_conc      "
  23,        23,   22.0000,   128.160,     11.662,  38.0000    ,  38.0000    ,  443.148    , "CONC", "data                      ", "calculated_from_conc      "
  24,        24,   23.0000,   136.730,     11.669,  34.5000    ,  34.5000    ,  402.567    , "CONC", "data                      ", "calculated_from_conc      "
  25,        25,   24.0000,   145.300,     11.675,  22.5000    ,  22.5000    ,  262.697    , "CONC", "data                      ", "calculated_from_conc      "
  26,        26,   25.0000,   153.860,     11.682,  39.0000    ,  39.0000    ,  455.608    , "CONC", "data                      ", "calculated_from_conc      "
  27,        27,   26.0000,   162.420,     11.682,  27.5000    ,  27.5000    ,  321.262    , "CONC", "data                      ", "calculated_from_conc      "
  28,        28,   27.0000,   170.980,     11.689,  41.5000    ,  41.5000    ,  485.096    , "CONC", "data                      ", "calculated_from_conc      "
  29,        29,   28.0000,   179.530,     11.696,  67.5000    ,  67.5000    ,  789.475    , "CONC", "data                      ", "calculated_from_conc      "
