site1901,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,         1,    0.0000,   -61.000,      0.044,  6.50000    ,  6.50000    , 0.283595    , "CONC", "data                      ", "calculated_from_conc      "
   2,         2,    0.0050,   -49.540,      0.044,  3.50000    ,  3.50000    , 0.152659    , "CONC", "data                      ", "calculated_from_conc      "
   3,         3,    0.0100,   -38.073,      0.044,  7.00000    ,  7.00000    , 0.305047    , "CONC", "data                      ", "calculated_from_conc      "
   4,         4,    0.0150,   -26.593,      0.044,  9.00000    ,  9.00000    , 0.391622    , "CONC", "data                      ", "calculated_from_conc      "
   5,         5,    0.0200,   -15.092,      0.043,  12.0000    ,  12.0000    , 0.521082    , "CONC", "data                      ", "calculated_from_conc      "
   6,         6,    0.0250,    -3.564,      0.043,  7.00000    ,  7.00000    , 0.303158    , "CONC", "data                      ", "calculated_from_conc      "
   7,         7,    0.0300,     7.998,      0.043,  9.00000    ,  9.00000    , 0.388514    , "CONC", "data                      ", "calculated_from_conc      "
   8,         8,    0.0350,    19.601,      0.043,  7.50000    ,  7.50000    , 0.322529    , "CONC", "data                      ", "calculated_from_conc      "
   9,         9,    0.0400,    31.252,      0.043,  12.0000    ,  12.0000    , 0.513789    , "CONC", "data                      ", "calculated_from_conc      "
  10,        10,    0.0450,    42.957,      0.043,  12.0000    ,  12.0000    , 0.511254    , "CONC", "data                      ", "calculated_from_conc      "
  11,        11,    0.0500,    54.724,      0.042,  10.0000    ,  10.0000    , 0.423709    , "CONC", "data                      ", "calculated_from_conc      "
  12,        12,    0.0550,    66.558,      0.042,  9.50000    ,  9.50000    , 0.400099    , "CONC", "data                      ", "calculated_from_conc      "
  13,        13,    0.0600,    78.468,      0.042,  3.50000    ,  3.50000    , 0.146439    , "CONC", "data                      ", "calculated_from_conc      "
  14,        14,    0.0650,    90.459,      0.042,  4.00000    ,  4.00000    , 0.166175    , "CONC", "data                      ", "calculated_from_conc      "
  15,        15,    0.0700,   102.539,      0.041,  4.50000    ,  4.50000    , 0.185530    , "CONC", "data                      ", "calculated_from_conc      "
  16,        16,    0.0750,   114.714,      0.041,  9.00000    ,  9.00000    , 0.368062    , "CONC", "data                      ", "calculated_from_conc      "
  17,        17,    0.0800,   126.991,      0.041,  13.0000    ,  13.0000    , 0.527095    , "CONC", "data                      ", "calculated_from_conc      "
  18,        18,    0.0850,   139.378,      0.040,  9.50000    ,  9.50000    , 0.381706    , "CONC", "data                      ", "calculated_from_conc      "
  19,        19,    0.0900,   151.880,      0.040,  9.00000    ,  9.00000    , 0.358186    , "CONC", "data                      ", "calculated_from_conc      "
  20,        20,    0.0950,   164.504,      0.039,  8.00000    ,  8.00000    , 0.315226    , "CONC", "data                      ", "calculated_from_conc      "
  21,        21,    0.1000,   177.258,      0.039,  15.0000    ,  15.0000    , 0.584927    , "CONC", "data                      ", "calculated_from_conc      "
  22,        22,    0.1050,   190.148,      0.039,  10.5000    ,  10.5000    , 0.405039    , "CONC", "data                      ", "calculated_from_conc      "
  23,        23,    0.1100,   203.182,      0.038,  7.00000    ,  7.00000    , 0.267009    , "CONC", "data                      ", "calculated_from_conc      "
  24,        24,    0.1150,   216.365,      0.038,  6.50000    ,  6.50000    , 0.245073    , "CONC", "data                      ", "calculated_from_conc      "
  25,        25,    0.1200,   229.704,      0.037,  22.5000    ,  22.5000    , 0.838212    , "CONC", "data                      ", "calculated_from_conc      "
  26,        26,    0.1250,   243.208,      0.037,  15.0000    ,  15.0000    , 0.551945    , "CONC", "data                      ", "calculated_from_conc      "
  27,        27,    0.1300,   256.881,      0.036,  10.5000    ,  10.5000    , 0.381488    , "CONC", "data                      ", "calculated_from_conc      "
  28,        28,    0.1350,   270.731,      0.036,  6.00000    ,  6.00000    , 0.215171    , "CONC", "data                      ", "calculated_from_conc      "
  29,        29,    0.1400,   284.766,      0.035,  6.00000    ,  6.00000    , 0.212318    , "CONC", "data                      ", "calculated_from_conc      "
  30,        30,    0.1450,   298.991,      0.035,  3.50000    ,  3.50000    , 0.122175    , "CONC", "data                      ", "calculated_from_conc      "
  31,        31,    0.1500,   313.413,      0.034,  8.00000    ,  8.00000    , 0.275392    , "CONC", "data                      ", "calculated_from_conc      "
  32,        32,    0.1550,   328.040,      0.034,  3.00000    ,  3.00000    , 0.101816    , "CONC", "data                      ", "calculated_from_conc      "
  33,        33,    0.1600,   342.878,      0.033,  5.50000    ,  5.50000    , 0.183984    , "CONC", "data                      ", "calculated_from_conc      "
  34,        34,    0.1650,   357.934,      0.033,  9.00000    ,  9.00000    , 0.296670    , "CONC", "data                      ", "calculated_from_conc      "
  35,        35,    0.1700,   373.215,      0.043,  1.50000    ,  1.50000    , 0.644559E-01, "CONC", "data                      ", "calculated_from_conc      "
  36,        36,    0.1800,   404.478,      0.031,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  37,        37,    0.1900,   436.721,      0.031, 0.500000    , 0.500000    , 0.152620E-01, "CONC", "data                      ", "calculated_from_conc      "
  38,        38,    0.2000,   470.000,      0.029,  59.5000    ,  59.5000    ,  1.73654    , "CONC", "data                      ", "calculated_from_conc      "
  39,        39,    0.2100,   505.248,      0.027,  120.500    ,  120.500    ,  3.29135    , "CONC", "data                      ", "calculated_from_conc      "
  40,        40,    0.2200,   543.222,      0.025,  26.5000    ,  26.5000    , 0.675502    , "CONC", "data                      ", "calculated_from_conc      "
  41,        41,    0.2300,   583.709,      0.024,  30.5000    ,  30.5000    , 0.732538    , "CONC", "data                      ", "calculated_from_conc      "
  42,        42,    0.2400,   626.494,      0.023,  39.0000    ,  39.0000    , 0.889828    , "CONC", "data                      ", "calculated_from_conc      "
  43,        43,    0.2500,   671.366,      0.022,  36.0000    ,  36.0000    , 0.785881    , "CONC", "data                      ", "calculated_from_conc      "
  44,        44,    0.2600,   718.111,      0.021,  33.5000    ,  33.5000    , 0.704154    , "CONC", "data                      ", "calculated_from_conc      "
  45,        45,    0.2700,   766.516,      0.020,  25.0000    ,  25.0000    , 0.508872    , "CONC", "data                      ", "calculated_from_conc      "
  46,        46,    0.2800,   816.368,      0.020,  19.0000    ,  19.0000    , 0.376473    , "CONC", "data                      ", "calculated_from_conc      "
  47,        47,    0.2900,   867.453,      0.019,  17.0000    ,  17.0000    , 0.329486    , "CONC", "data                      ", "calculated_from_conc      "
  48,        48,    0.3000,   919.559,      0.019,  10.0000    ,  10.0000    , 0.190442    , "CONC", "data                      ", "calculated_from_conc      "
  49,        49,    0.3100,   972.472,      0.019,  8.00000    ,  8.00000    , 0.150347    , "CONC", "data                      ", "calculated_from_conc      "
  50,        50,    0.3200,  1025.979,      0.019,  11.5000    ,  11.5000    , 0.214161    , "CONC", "data                      ", "calculated_from_conc      "
  51,        51,    0.3300,  1079.868,      0.019,  9.00000    ,  9.00000    , 0.166752    , "CONC", "data                      ", "calculated_from_conc      "
  52,        52,    0.3400,  1133.924,      0.019,  14.0000    ,  14.0000    , 0.259096    , "CONC", "data                      ", "calculated_from_conc      "
  53,        53,    0.3500,  1187.936,      0.019,  21.0000    ,  21.0000    , 0.389740    , "CONC", "data                      ", "calculated_from_conc      "
  54,        54,    0.3600,  1241.689,      0.019,  10.0000    ,  10.0000    , 0.186855    , "CONC", "data                      ", "calculated_from_conc      "
  55,        55,    0.3700,  1294.971,      0.019,  13.0000    ,  13.0000    , 0.245563    , "CONC", "data                      ", "calculated_from_conc      "
  56,        56,    0.3800,  1347.568,      0.019,  11.0000    ,  11.0000    , 0.210937    , "CONC", "data                      ", "calculated_from_conc      "
  57,        57,    0.3900,  1399.267,      0.020,  9.50000    ,  9.50000    , 0.185750    , "CONC", "data                      ", "calculated_from_conc      "
  58,        58,    0.4000,  1449.856,      0.020,  7.00000    ,  7.00000    , 0.140205    , "CONC", "data                      ", "calculated_from_conc      "
  59,        59,    0.4100,  1499.121,      0.021,  13.0000    ,  13.0000    , 0.268063    , "CONC", "data                      ", "calculated_from_conc      "
  60,        60,    0.4200,  1546.848,      0.021,  42.0000    ,  42.0000    , 0.896431    , "CONC", "data                      ", "calculated_from_conc      "
  61,        61,    0.4300,  1592.826,      0.022,  2.50000    ,  2.50000    , 0.555609E-01, "CONC", "data                      ", "calculated_from_conc      "
  62,        62,    0.4400,  1636.840,      0.023,  1.00000    ,  1.00000    , 0.232959E-01, "CONC", "data                      ", "calculated_from_conc      "
  63,        63,    0.4500,  1678.677,      0.025,  2.00000    ,  2.00000    , 0.492094E-01, "CONC", "data                      ", "calculated_from_conc      "
  64,        64,    0.4600,  1718.125,      0.026,  4.00000    ,  4.00000    , 0.104859    , "CONC", "data                      ", "calculated_from_conc      "
  65,        65,    0.4700,  1754.970,      0.028,  31.0000    ,  31.0000    , 0.874782    , "CONC", "data                      ", "calculated_from_conc      "
  66,        66,    0.4800,  1789.000,      0.031,  77.5000    ,  77.5000    ,  2.38354    , "CONC", "data                      ", "calculated_from_conc      "
  67,        67,    0.4900,  1820.000,      0.034,  23.5000    ,  23.5000    , 0.789640    , "CONC", "data                      ", "calculated_from_conc      "
  68,        68,    0.5000,  1848.520,      0.036,  11.5000    ,  11.5000    , 0.415485    , "CONC", "data                      ", "calculated_from_conc      "
  69,        69,    0.5100,  1875.357,      0.038,  13.0000    ,  13.0000    , 0.498586    , "CONC", "data                      ", "calculated_from_conc      "
  70,        70,    0.5200,  1900.668,      0.041,  12.5000    ,  12.5000    , 0.507594    , "CONC", "data                      ", "calculated_from_conc      "
  71,        71,    0.5300,  1924.609,      0.043,  12.0000    ,  12.0000    , 0.514225    , "CONC", "data                      ", "calculated_from_conc      "
  72,        72,    0.5400,  1947.340,      0.045,  40.0000    ,  40.0000    ,  1.80153    , "CONC", "data                      ", "calculated_from_conc      "
  73,        73,    0.5500,  1969.016,      0.047,  19.0000    ,  19.0000    , 0.895032    , "CONC", "data                      ", "calculated_from_conc      "
  74,        74,    0.5600,  1989.796,      0.049,  18.0000    ,  18.0000    , 0.881897    , "CONC", "data                      ", "calculated_from_conc      "
  75,        75,    0.5700,  2009.837,      0.051,  17.0000    ,  17.0000    , 0.860743    , "CONC", "data                      ", "calculated_from_conc      "
  76,        76,    0.5800,  2029.297,      0.052,  26.5000    ,  26.5000    ,  1.37681    , "CONC", "data                      ", "calculated_from_conc      "
  77,        77,    0.5900,  2048.332,      0.053,  23.0000    ,  23.0000    ,  1.21679    , "CONC", "data                      ", "calculated_from_conc      "
  78,        78,    0.6000,  2067.101,      0.053,  3.00000    ,  3.00000    , 0.160309    , "CONC", "data                      ", "calculated_from_conc      "
  79,        79,    0.6100,  2085.760,      0.054,  2.00000    ,  2.00000    , 0.107044    , "CONC", "data                      ", "calculated_from_conc      "
  80,        80,    0.6200,  2104.469,      0.053,  4.00000    ,  4.00000    , 0.212644    , "CONC", "data                      ", "calculated_from_conc      "
  81,        81,    0.6300,  2123.382,      0.052,  3.50000    ,  3.50000    , 0.183294    , "CONC", "data                      ", "calculated_from_conc      "
  82,        82,    0.6400,  2142.659,      0.051,  4.50000    ,  4.50000    , 0.230334    , "CONC", "data                      ", "calculated_from_conc      "
  83,        83,    0.6500,  2162.456,      0.050,  1.00000    ,  1.00000    , 0.496620E-01, "CONC", "data                      ", "calculated_from_conc      "
  84,        84,    0.6600,  2182.931,      0.048,  1.00000    ,  1.00000    , 0.478627E-01, "CONC", "data                      ", "calculated_from_conc      "
  85,        85,    0.6700,  2204.242,      0.046,  1.50000    ,  1.50000    , 0.687832E-01, "CONC", "data                      ", "calculated_from_conc      "
  86,        86,    0.6800,  2226.546,      0.044,  1.00000    ,  1.00000    , 0.437083E-01, "CONC", "data                      ", "calculated_from_conc      "
  87,        87,    0.6900,  2250.000,      0.042,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  88,        88,    0.7000,  2274.157,      0.041,  1.50000    ,  1.50000    , 0.618999E-01, "CONC", "data                      ", "calculated_from_conc      "
  89,        89,    0.7100,  2298.466,      0.041,  1.00000    ,  1.00000    , 0.410082E-01, "CONC", "data                      ", "calculated_from_conc      "
  90,        90,    0.7200,  2322.928,      0.041,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  91,        91,    0.7300,  2347.545,      0.040,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  92,        92,    0.7400,  2372.319,      0.040,  7.50000    ,  7.50000    , 0.301762    , "CONC", "data                      ", "calculated_from_conc      "
  93,        93,    0.7500,  2397.253,      0.040,  14.0000    ,  14.0000    , 0.559693    , "CONC", "data                      ", "calculated_from_conc      "
  94,        94,    0.7600,  2422.347,      0.040,  29.5000    ,  29.5000    ,  1.17178    , "CONC", "data                      ", "calculated_from_conc      "
  95,        95,    0.7700,  2447.603,      0.039,  16.0000    ,  16.0000    , 0.631446    , "CONC", "data                      ", "calculated_from_conc      "
  96,        96,    0.7800,  2473.024,      0.039,  19.0000    ,  19.0000    , 0.744981    , "CONC", "data                      ", "calculated_from_conc      "
  97,        97,    0.7900,  2498.612,      0.039,  4.50000    ,  4.50000    , 0.175292    , "CONC", "data                      ", "calculated_from_conc      "
  98,        98,    0.8000,  2524.367,      0.039,  23.5000    ,  23.5000    , 0.909430    , "CONC", "data                      ", "calculated_from_conc      "
  99,        99,    0.8100,  2550.292,      0.038,  22.0000    ,  22.0000    , 0.845788    , "CONC", "data                      ", "calculated_from_conc      "
 100,       100,    0.8200,  2576.389,      0.038,  18.0000    ,  18.0000    , 0.687446    , "CONC", "data                      ", "calculated_from_conc      "
 101,       101,    0.8300,  2602.660,      0.038,  18.5000    ,  18.5000    , 0.701869    , "CONC", "data                      ", "calculated_from_conc      "
 102,       102,    0.8400,  2629.106,      0.038,  3.00000    ,  3.00000    , 0.113060    , "CONC", "data                      ", "calculated_from_conc      "
 103,       103,    0.8500,  2655.729,      0.037,  16.0000    ,  16.0000    , 0.598961    , "CONC", "data                      ", "calculated_from_conc      "
 104,       104,    0.8600,  2682.532,      0.037,  7.50000    ,  7.50000    , 0.278882    , "CONC", "data                      ", "calculated_from_conc      "
 105,       105,    0.8700,  2709.515,      0.037,  5.00000    ,  5.00000    , 0.184674    , "CONC", "data                      ", "calculated_from_conc      "
 106,       106,    0.8800,  2736.681,      0.037,  5.50000    ,  5.50000    , 0.201773    , "CONC", "data                      ", "calculated_from_conc      "
 107,       107,    0.8900,  2764.032,      0.036,  16.5000    ,  16.5000    , 0.601227    , "CONC", "data                      ", "calculated_from_conc      "
 108,       108,    0.9000,  2791.569,      0.036,  19.5000    ,  19.5000    , 0.705724    , "CONC", "data                      ", "calculated_from_conc      "
 109,       109,    0.9100,  2819.294,      0.036,  17.5000    ,  17.5000    , 0.629036    , "CONC", "data                      ", "calculated_from_conc      "
 110,       110,    0.9200,  2847.210,      0.036,  26.5000    ,  26.5000    , 0.946040    , "CONC", "data                      ", "calculated_from_conc      "
 111,       111,    0.9300,  2875.317,      0.035,  22.0000    ,  22.0000    , 0.780021    , "CONC", "data                      ", "calculated_from_conc      "
 112,       112,    0.9400,  2903.618,      0.035,  25.5000    ,  25.5000    , 0.897920    , "CONC", "data                      ", "calculated_from_conc      "
 113,       113,    0.9500,  2932.115,      0.035,  29.0000    ,  29.0000    ,  1.01415    , "CONC", "data                      ", "calculated_from_conc      "
 114,       114,    0.9600,  2960.809,      0.035,  31.0000    ,  31.0000    ,  1.07663    , "CONC", "data                      ", "calculated_from_conc      "
 115,       115,    0.9700,  2989.703,      0.034,  30.0000    ,  30.0000    ,  1.03469    , "CONC", "data                      ", "calculated_from_conc      "
 116,       116,    0.9800,  3018.797,      0.034,  28.5000    ,  28.5000    , 0.976167    , "CONC", "data                      ", "calculated_from_conc      "
 117,       117,    0.9900,  3048.095,      0.034,  3.50000    ,  3.50000    , 0.119048    , "CONC", "data                      ", "calculated_from_conc      "
 118,       118,    1.0000,  3077.597,      0.034,  1.50000    ,  1.50000    , 0.506663E-01, "CONC", "data                      ", "calculated_from_conc      "
 119,       119,    1.0100,  3107.306,      0.034,  22.0000    ,  22.0000    , 0.737933    , "CONC", "data                      ", "calculated_from_conc      "
 120,       120,    1.0200,  3137.223,      0.033,  28.0000    ,  28.0000    , 0.932634    , "CONC", "data                      ", "calculated_from_conc      "
 121,       121,    1.0300,  3167.351,      0.033,  34.0000    ,  34.0000    ,  1.12456    , "CONC", "data                      ", "calculated_from_conc      "
 122,       122,    1.0400,  3197.690,      0.033,  15.0000    ,  15.0000    , 0.492670    , "CONC", "data                      ", "calculated_from_conc      "
 123,       123,    1.0500,  3228.244,      0.033,  23.5000    ,  23.5000    , 0.766430    , "CONC", "data                      ", "calculated_from_conc      "
 124,       124,    1.0600,  3259.013,      0.032,  5.50000    ,  5.50000    , 0.178121    , "CONC", "data                      ", "calculated_from_conc      "
 125,       125,    1.0700,  3290.000,      0.032,  14.0000    ,  14.0000    , 0.454443    , "CONC", "data                      ", "calculated_from_conc      "
 126,       126,    1.0800,  3320.627,      0.033,  10.5000    ,  10.5000    , 0.345731    , "CONC", "data                      ", "calculated_from_conc      "
 127,       127,    1.0900,  3350.741,      0.033,  14.0000    ,  14.0000    , 0.463914    , "CONC", "data                      ", "calculated_from_conc      "
 128,       128,    1.1000,  3380.983,      0.033,  4.00000    ,  4.00000    , 0.130610    , "CONC", "data                      ", "calculated_from_conc      "
 129,       129,    1.1100,  3411.992,      0.032,  9.50000    ,  9.50000    , 0.299562    , "CONC", "data                      ", "calculated_from_conc      "
 130,       130,    1.1200,  3444.408,      0.030,  8.50000    ,  8.50000    , 0.254185    , "CONC", "data                      ", "calculated_from_conc      "
 131,       131,    1.1300,  3478.872,      0.028,  4.50000    ,  4.50000    , 0.125672    , "CONC", "data                      ", "calculated_from_conc      "
 132,       132,    1.1400,  3516.023,      0.026,  1.00000    ,  1.00000    , 0.257633E-01, "CONC", "data                      ", "calculated_from_conc      "
 133,       133,    1.1500,  3556.502,      0.024,  2.00000    ,  2.00000    , 0.471010E-01, "CONC", "data                      ", "calculated_from_conc      "
 134,       134,    1.1600,  3600.947,      0.021,  10.0000    ,  10.0000    , 0.213908    , "CONC", "data                      ", "calculated_from_conc      "
 135,       135,    1.1700,  3650.000,      0.019,  7.00000    ,  7.00000    , 0.132867    , "CONC", "data                      ", "calculated_from_conc      "
 136,       136,    1.1800,  3706.316,      0.016,  4.00000    ,  4.00000    , 0.658057E-01, "CONC", "data                      ", "calculated_from_conc      "
 137,       137,    1.1900,  3771.571,      0.014,  5.50000    ,  5.50000    , 0.793524E-01, "CONC", "data                      ", "calculated_from_conc      "
 138,       138,    1.2000,  3844.938,      0.013,  2.00000    ,  2.00000    , 0.259710E-01, "CONC", "data                      ", "calculated_from_conc      "
 139,       139,    1.2100,  3925.588,      0.012,  5.00000    ,  5.00000    , 0.596107E-01, "CONC", "data                      ", "calculated_from_conc      "
 140,       140,    1.2200,  4012.693,      0.011,  11.5000    ,  11.5000    , 0.127895    , "CONC", "data                      ", "calculated_from_conc      "
 141,       141,    1.2300,  4105.424,      0.011,  8.50000    ,  8.50000    , 0.893512E-01, "CONC", "data                      ", "calculated_from_conc      "
 142,       142,    1.2400,  4202.953,      0.010,  1.00000    ,  1.00000    , 0.100488E-01, "CONC", "data                      ", "calculated_from_conc      "
 143,       143,    1.2500,  4304.452,      0.010,  1.50000    ,  1.50000    , 0.145532E-01, "CONC", "data                      ", "calculated_from_conc      "
 144,       144,    1.2600,  4409.092,      0.009,  2.00000    ,  2.00000    , 0.189043E-01, "CONC", "data                      ", "calculated_from_conc      "
