site1170,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142437028,    0.0025,     0.000,      0.080, -19.5000    , -243.442    , -19.5000    , "INFL", "calculated_from_influx    ", "data                      "
   2, 142437029,    0.0500,    59.300,      0.084,  0.00000    ,  0.00000    ,  0.00000    , "INFL", "calculated_from_influx    ", "data                      "
   3, 142437030,    0.1000,   118.600,      0.084,  5.32000    ,  63.0952    ,  5.32000    , "INFL", "calculated_from_influx    ", "data                      "
   4, 142437031,    0.1500,   177.900,      0.084,  0.00000    ,  0.00000    ,  0.00000    , "INFL", "calculated_from_influx    ", "data                      "
   5, 142437032,    0.2000,   237.200,      0.084,  1.77000    ,  20.9922    ,  1.77000    , "INFL", "calculated_from_influx    ", "data                      "
   6, 142437033,    0.2500,   296.500,      0.084,  3.54000    ,  41.9844    ,  3.54000    , "INFL", "calculated_from_influx    ", "data                      "
   7, 142437034,    0.3000,   355.800,      0.084,  8.86000    ,  105.080    ,  8.86000    , "INFL", "calculated_from_influx    ", "data                      "
   8, 142437035,    0.3500,   415.100,      0.084,  3.54000    ,  41.9844    ,  3.54000    , "INFL", "calculated_from_influx    ", "data                      "
   9, 142437036,    0.4000,   474.400,      0.084,  1.77000    ,  20.9922    ,  1.77000    , "INFL", "calculated_from_influx    ", "data                      "
  10, 142437037,    0.4500,   533.700,      0.084,  19.5000    ,  231.270    ,  19.5000    , "INFL", "calculated_from_influx    ", "data                      "
  11, 142437038,    0.5000,   593.000,      0.116,  21.2700    ,  183.985    ,  21.2700    , "INFL", "calculated_from_influx    ", "data                      "
  12, 142437039,    0.5500,   620.200,      0.184,  35.4500    ,  192.848    ,  35.4500    , "INFL", "calculated_from_influx    ", "data                      "
  13, 142437040,    0.6000,   647.400,      0.184,  21.2700    ,  115.709    ,  21.2700    , "INFL", "calculated_from_influx    ", "data                      "
  14, 142437041,    0.6500,   674.600,      0.184,  28.3600    ,  154.278    ,  28.3600    , "INFL", "calculated_from_influx    ", "data                      "
  15, 142437042,    0.7000,   701.800,      0.184,  35.4500    ,  192.848    ,  35.4500    , "INFL", "calculated_from_influx    ", "data                      "
  16, 142437043,    0.7500,   729.000,      0.139,  12.4100    ,  89.3520    ,  12.4100    , "INFL", "calculated_from_influx    ", "data                      "
  17, 142437044,    0.8000,   773.800,      0.101,  23.0400    ,  227.082    ,  23.0400    , "INFL", "calculated_from_influx    ", "data                      "
  18, 142437045,    0.8500,   827.560,      0.112,  8.86000    ,  79.3857    ,  8.86000    , "INFL", "calculated_from_influx    ", "data                      "
  19, 142437046,    0.9000,   863.400,      0.124,  28.3600    ,  228.695    ,  28.3600    , "INFL", "calculated_from_influx    ", "data                      "
  20, 142437047,    0.9500,   908.200,      0.112,  31.9000    ,  285.823    ,  31.9000    , "INFL", "calculated_from_influx    ", "data                      "
  21, 142437048,    1.0000,   953.000,      0.092,  12.4000    ,  134.416    ,  12.4000    , "INFL", "calculated_from_influx    ", "data                      "
  22, 142437049,    1.0500,  1016.600,      0.079,  30.1300    ,  383.253    ,  30.1300    , "INFL", "calculated_from_influx    ", "data                      "
  23, 142437050,    1.1000,  1080.200,      0.079,  44.3100    ,  563.625    ,  44.3100    , "INFL", "calculated_from_influx    ", "data                      "
  24, 142437051,    1.1500,  1143.800,      0.079,  44.3100    ,  563.623    ,  44.3100    , "INFL", "calculated_from_influx    ", "data                      "
  25, 142437052,    1.2000,  1207.400,      0.079,  72.6700    ,  924.361    ,  72.6700    , "INFL", "calculated_from_influx    ", "data                      "
  26, 142437053,    1.2500,  1271.000,      0.079,  60.2600    ,  766.509    ,  60.2600    , "INFL", "calculated_from_influx    ", "data                      "
  27, 142437054,    1.3000,  1334.600,      0.079,  24.8100    ,  315.582    ,  24.8100    , "INFL", "calculated_from_influx    ", "data                      "
  28, 142437055,    1.3500,  1398.200,      0.079,  5.32000    ,  67.6706    ,  5.32000    , "INFL", "calculated_from_influx    ", "data                      "
  29, 142437056,    1.4000,  1461.800,      0.079,  38.9900    ,  495.953    ,  38.9900    , "INFL", "calculated_from_influx    ", "data                      "
  30, 142437057,    1.4500,  1525.400,      0.079,  44.3100    ,  563.623    ,  44.3100    , "INFL", "calculated_from_influx    ", "data                      "
