site0769,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,    106397,    0.0000,     1.000,      1.000,  10.3700    ,  10.3700    ,  10.3700    , "INFL", "calculated_from_influx    ", "data                      "
   2,    106398,    0.0100,     2.000,      1.000,  10.2100    ,  10.2100    ,  10.2100    , "INFL", "calculated_from_influx    ", "data                      "
   3,    106399,    0.0200,     3.000,      1.000,  12.5800    ,  12.5800    ,  12.5800    , "INFL", "calculated_from_influx    ", "data                      "
   4,    106400,    0.0300,     4.000,      1.156,  9.60000    ,  8.30400    ,  9.60000    , "INFL", "calculated_from_influx    ", "data                      "
   5,    106401,    0.0400,     4.730,      0.209,  10.5200    ,  50.3908    ,  10.5200    , "INFL", "calculated_from_influx    ", "data                      "
   6,    106402,    0.0500,    13.580,      0.113,  11.2000    ,  98.9520    ,  11.2000    , "INFL", "calculated_from_influx    ", "data                      "
   7,    106403,    0.0600,    22.400,      0.114,  11.4300    ,  100.641    ,  11.4300    , "INFL", "calculated_from_influx    ", "data                      "
   8,    106404,    0.0700,    31.190,      0.114,  11.2000    ,  98.2800    ,  11.2000    , "INFL", "calculated_from_influx    ", "data                      "
   9,    106405,    0.0800,    39.950,      0.114,  10.5900    ,  92.5565    ,  10.5900    , "INFL", "calculated_from_influx    ", "data                      "
  10,    106406,    0.0900,    48.670,      0.115,  7.93000    ,  69.0307    ,  7.93000    , "INFL", "calculated_from_influx    ", "data                      "
  11,    106407,    0.1000,    57.360,      0.115,  12.2000    ,  105.835    ,  12.2000    , "INFL", "calculated_from_influx    ", "data                      "
  12,    106408,    0.1100,    66.020,      0.116,  11.2800    ,  97.4592    ,  11.2800    , "INFL", "calculated_from_influx    ", "data                      "
  13,    106409,    0.1200,    74.640,      0.116,  11.2800    ,  97.1208    ,  11.2800    , "INFL", "calculated_from_influx    ", "data                      "
  14,    106410,    0.1300,    83.240,      0.117,  7.77000    ,  66.6666    ,  7.77000    , "INFL", "calculated_from_influx    ", "data                      "
  15,    106411,    0.1400,    91.800,      0.117,  13.4900    ,  115.272    ,  13.4900    , "INFL", "calculated_from_influx    ", "data                      "
  16,    106412,    0.1500,   100.330,      0.117,  12.2000    ,  103.883    ,  12.2000    , "INFL", "calculated_from_influx    ", "data                      "
