site1307,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142448134,    0.0000,   -50.100,      0.180,  14.0000    ,  14.0000    ,  2.52560    , "CONC", "data                      ", "calculated_from_conc      "
   2, 142448135,    0.0050,   -47.328,      0.180,  32.6700    ,  32.6700    ,  5.86968    , "CONC", "data                      ", "calculated_from_conc      "
   3, 142448136,    0.0100,   -44.534,      0.119,  50.3300    ,  50.3300    ,  5.96806    , "CONC", "data                      ", "calculated_from_conc      "
   4, 142448137,    0.0125,   -43.112,      0.174,  61.6700    ,  61.6700    ,  10.7244    , "CONC", "data                      ", "calculated_from_conc      "
   5, 142448138,    0.0150,   -41.659,      0.170,  30.0000    ,  30.0000    ,  5.08530    , "CONC", "data                      ", "calculated_from_conc      "
   6, 142448139,    0.0175,   -40.162,      0.164,  78.0000    ,  78.0000    ,  12.7731    , "CONC", "data                      ", "calculated_from_conc      "
   7, 142448140,    0.0200,   -38.606,      0.157,  261.670    ,  261.670    ,  41.0029    , "CONC", "data                      ", "calculated_from_conc      "
   8, 142448141,    0.0225,   -36.971,      0.148,  189.330    ,  189.330    ,  28.1128    , "CONC", "data                      ", "calculated_from_conc      "
   9, 142448142,    0.0250,   -35.238,      0.179,  173.670    ,  173.670    ,  31.0729    , "CONC", "data                      ", "calculated_from_conc      "
  10, 142448143,    0.0300,   -31.382,      0.119,  67.6700    ,  67.6700    ,  8.04169    , "CONC", "data                      ", "calculated_from_conc      "
  11, 142448144,    0.0350,   -26.823,      0.099,  43.3300    ,  43.3300    ,  4.30181    , "CONC", "data                      ", "calculated_from_conc      "
  12, 142448145,    0.0400,   -21.310,      0.081,  20.0000    ,  20.0000    ,  1.62946    , "CONC", "data                      ", "calculated_from_conc      "
  13, 142448146,    0.0450,   -14.549,      0.066,  30.6700    ,  30.6700    ,  2.03152    , "CONC", "data                      ", "calculated_from_conc      "
  14, 142448147,    0.0500,    -6.213,      0.054,  29.3300    ,  29.3300    ,  1.57523    , "CONC", "data                      ", "calculated_from_conc      "
  15, 142448148,    0.0550,     4.070,      0.044,  23.0000    ,  23.0000    ,  1.00354    , "CONC", "data                      ", "calculated_from_conc      "
