site0055,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,    123162,    0.0375,     0.000,      0.074, 0.100000E-01, 0.100000E-01, 0.736811E-03, "CONC", "data                      ", "calculated_from_conc      "
   2,    123163,    0.1125,   101.790,      0.054, 0.400000E-01, 0.400000E-01, 0.217014E-02, "CONC", "data                      ", "calculated_from_conc      "
   3,    123164,    0.1875,   276.480,      0.043, 0.100000    , 0.100000    , 0.429185E-02, "CONC", "data                      ", "calculated_from_conc      "
   4,    123165,    0.2625,   451.290,      0.050, 0.600000E-01, 0.600000E-01, 0.300636E-02, "CONC", "data                      ", "calculated_from_conc      "
   5,    123166,    0.3500,   625.740,      0.049, 0.800000E-01, 0.800000E-01, 0.394331E-02, "CONC", "data                      ", "calculated_from_conc      "
   6,    123167,    0.4500,   857.040,      0.049, 0.500000E-01, 0.500000E-01, 0.244422E-02, "CONC", "data                      ", "calculated_from_conc      "
   7,    123168,    0.5625,  1086.010,      0.049, 0.400000E-01, 0.400000E-01, 0.195817E-02, "CONC", "data                      ", "calculated_from_conc      "
   8,    123169,    0.6875,  1367.720,      0.048, 0.400000E-01, 0.400000E-01, 0.190247E-02, "CONC", "data                      ", "calculated_from_conc      "
   9,    123170,    0.8200,  1643.180,      0.050, 0.300000E-01, 0.300000E-01, 0.151236E-02, "CONC", "data                      ", "calculated_from_conc      "
  10,    123171,    0.9650,  1942.980,      0.050, 0.100000E-01, 0.100000E-01, 0.500361E-03, "CONC", "data                      ", "calculated_from_conc      "
  11,    123172,    1.1175,  2252.740,      0.050,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  12,    123173,    1.2725,  2559.440,      0.068,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  13,    123174,    1.4750,  2852.020,      0.046, 0.500000E-01, 0.500000E-01, 0.227956E-02, "CONC", "data                      ", "calculated_from_conc      "
  14,    123175,    1.6425,  3294.230,      0.044, 0.370000    , 0.370000    , 0.164585E-01, "CONC", "data                      ", "calculated_from_conc      "
  15,    123176,    1.7725,  3436.520,      0.086, 0.588235E-02, 0.588235E-02, 0.507291E-03, "CONC", "data                      ", "calculated_from_conc      "
  16,    123177,    1.9550,  3717.470,      0.068, 0.200000E-01, 0.200000E-01, 0.136972E-02, "CONC", "data                      ", "calculated_from_conc      "
  17,    123178,    2.1500,  4005.980,      0.061, 0.540541E-02, 0.540541E-02, 0.328094E-03, "CONC", "data                      ", "calculated_from_conc      "
  18,    123179,    2.3250,  4294.100,      0.068, 0.300000E-01, 0.300000E-01, 0.202605E-02, "CONC", "data                      ", "calculated_from_conc      "
  19,    123180,    2.4925,  4502.020,      0.081, 0.200000E-01, 0.200000E-01, 0.161664E-02, "CONC", "data                      ", "calculated_from_conc      "
  20,    123181,    2.6775,  4751.840,      0.075, 0.500000E-01, 0.500000E-01, 0.373089E-02, "CONC", "data                      ", "calculated_from_conc      "
  21,    123182,    2.8625,  4997.880,      0.075, 0.200000E-01, 0.200000E-01, 0.150333E-02, "CONC", "data                      ", "calculated_from_conc      "
  22,    123183,    3.0475,  5244.080,      0.074, 0.200000E-01, 0.200000E-01, 0.147003E-02, "CONC", "data                      ", "calculated_from_conc      "
  23,    123184,    3.2300,  5494.470,      0.082, 0.800000E-01, 0.800000E-01, 0.653555E-02, "CONC", "data                      ", "calculated_from_conc      "
  24,    123185,    3.4350,  5745.950,      0.070, 0.200000E-01, 0.200000E-01, 0.139011E-02, "CONC", "data                      ", "calculated_from_conc      "
  25,    123186,    3.6400,  6084.350,      0.050, 0.300000E-01, 0.300000E-01, 0.149802E-02, "CONC", "data                      ", "calculated_from_conc      "
  26,    123187,    3.7950,  6366.770,      0.064, 0.500000E-01, 0.500000E-01, 0.321330E-02, "CONC", "data                      ", "calculated_from_conc      "
  27,    123188,    3.9550,  6582.280,      0.062, 0.470000    , 0.470000    , 0.290398E-01, "CONC", "data                      ", "calculated_from_conc      "
  28,    123189,    4.1250,  6917.050,      0.050, 0.740741E-02, 0.740741E-02, 0.372009E-03, "CONC", "data                      ", "calculated_from_conc      "
  29,    123190,    4.2800,  7199.550,      0.053, 0.200000E-01, 0.200000E-01, 0.106164E-02, "CONC", "data                      ", "calculated_from_conc      "
  30,    123191,    4.4400,  7519.890,      0.068, 0.300000    , 0.300000    , 0.204168E-01, "CONC", "data                      ", "calculated_from_conc      "
  31,    123192,    4.6650,  7860.770,      0.041, 0.310000    , 0.310000    , 0.128619E-01, "CONC", "data                      ", "calculated_from_conc      "
  32,    123193,    4.8750,  8532.180,      0.021, 0.250000    , 0.250000    , 0.527867E-02, "CONC", "data                      ", "calculated_from_conc      "
  33,    123194,    4.9800,  8855.340,      0.057, 0.600000E-01, 0.600000E-01, 0.340522E-02, "CONC", "data                      ", "calculated_from_conc      "
  34,    123195,    5.1300,  9060.780,      0.054, 0.160000    , 0.160000    , 0.865875E-02, "CONC", "data                      ", "calculated_from_conc      "
  35,    123196,    5.3450,  9649.910,      0.030, 0.600000E-01, 0.600000E-01, 0.182947E-02, "CONC", "data                      ", "calculated_from_conc      "
  36,    123197,    5.5250, 10241.450,      0.030, 0.100000    , 0.100000    , 0.304912E-02, "CONC", "data                      ", "calculated_from_conc      "
