site0199,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,     31862,    0.0500,   -44.000,      0.053,  9.60000    ,  9.60000    , 0.511373    , "CONC", "data                      ", "calculated_from_conc      "
   2,     31863,    0.1500,   143.730,      0.064, 0.800000    , 0.800000    , 0.509895E-01, "CONC", "data                      ", "calculated_from_conc      "
   3,     31864,    0.2500,   269.790,      0.079,  3.60000    ,  3.60000    , 0.284360    , "CONC", "data                      ", "calculated_from_conc      "
   4,     31865,    0.3500,   396.930,      0.078,  2.40000    ,  2.40000    , 0.188198    , "CONC", "data                      ", "calculated_from_conc      "
   5,     31866,    0.4500,   524.840,      0.078,  4.40000    ,  4.40000    , 0.342920    , "CONC", "data                      ", "calculated_from_conc      "
   6,     31867,    0.5500,   653.550,      0.077,  2.80000    ,  2.80000    , 0.216878    , "CONC", "data                      ", "calculated_from_conc      "
   7,     31868,    0.6500,   783.050,      0.077,  8.80000    ,  8.80000    , 0.677496    , "CONC", "data                      ", "calculated_from_conc      "
   8,     31869,    0.7500,   913.330,      0.077,  3.60000    ,  3.60000    , 0.275408    , "CONC", "data                      ", "calculated_from_conc      "
   9,     31870,    0.8500,  1044.480,      0.076,  3.60000    ,  3.60000    , 0.273577    , "CONC", "data                      ", "calculated_from_conc      "
  10,     31871,    0.9500,  1176.510,      0.076,  10.4000    ,  10.4000    , 0.785350    , "CONC", "data                      ", "calculated_from_conc      "
  11,     31872,    1.0500,  1309.330,      0.075,  4.80000    ,  4.80000    , 0.360916    , "CONC", "data                      ", "calculated_from_conc      "
  12,     31873,    1.1500,  1442.500,      0.075,  1.60000    ,  1.60000    , 0.119980    , "CONC", "data                      ", "calculated_from_conc      "
  13,     31874,    1.2500,  1576.040,      0.075, 0.800000    , 0.800000    , 0.597327E-01, "CONC", "data                      ", "calculated_from_conc      "
  14,     31875,    1.3500,  1710.360,      0.074,  2.40000    ,  2.40000    , 0.178101    , "CONC", "data                      ", "calculated_from_conc      "
  15,     31876,    1.4500,  1845.550,      0.074,  5.20000    ,  5.20000    , 0.383141    , "CONC", "data                      ", "calculated_from_conc      "
  16,     31877,    1.5500,  1981.800,      0.073,  10.8000    ,  10.8000    , 0.789503    , "CONC", "data                      ", "calculated_from_conc      "
  17,     31878,    1.6500,  2119.140,      0.073,  5.20000    ,  5.20000    , 0.377290    , "CONC", "data                      ", "calculated_from_conc      "
  18,     31879,    1.7500,  2257.450,      0.072,  3.60000    ,  3.60000    , 0.259254    , "CONC", "data                      ", "calculated_from_conc      "
  19,     31880,    1.8500,  2396.860,      0.071,  2.80000    ,  2.80000    , 0.199957    , "CONC", "data                      ", "calculated_from_conc      "
