site1161,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142437783,    0.0000,   -55.000,      0.352,  2.00000    ,  2.00000    , 0.704226    , "CONC", "data                      ", "calculated_from_conc      "
   2, 142437784,    0.0050,   -53.580,      0.352,  6.00000    ,  6.00000    ,  2.11268    , "CONC", "data                      ", "calculated_from_conc      "
   3, 142437785,    0.0100,   -52.160,      0.353,  9.00000    ,  9.00000    ,  3.18021    , "CONC", "data                      ", "calculated_from_conc      "
   4, 142437786,    0.0150,   -50.750,      0.353,  6.00000    ,  6.00000    ,  2.12014    , "CONC", "data                      ", "calculated_from_conc      "
   5, 142437787,    0.0200,   -49.330,      0.353,  5.00000    ,  5.00000    ,  1.76678    , "CONC", "data                      ", "calculated_from_conc      "
   6, 142437788,    0.0250,   -47.920,      0.353,  7.00000    ,  7.00000    ,  2.47350    , "CONC", "data                      ", "calculated_from_conc      "
   7, 142437789,    0.0300,   -46.500,      0.353,  5.00000    ,  5.00000    ,  1.76678    , "CONC", "data                      ", "calculated_from_conc      "
   8, 142437790,    0.0350,   -45.090,      0.353,  3.00000    ,  3.00000    ,  1.06007    , "CONC", "data                      ", "calculated_from_conc      "
   9, 142437791,    0.0400,   -43.670,      0.352,  11.0000    ,  11.0000    ,  3.87325    , "CONC", "data                      ", "calculated_from_conc      "
  10, 142437792,    0.0450,   -42.250,      0.353,  12.0000    ,  12.0000    ,  4.24028    , "CONC", "data                      ", "calculated_from_conc      "
  11, 142437793,    0.0500,   -40.840,      0.353,  5.00000    ,  5.00000    ,  1.76678    , "CONC", "data                      ", "calculated_from_conc      "
  12, 142437794,    0.0550,   -39.420,      0.353,  7.00000    ,  7.00000    ,  2.47350    , "CONC", "data                      ", "calculated_from_conc      "
  13, 142437795,    0.0600,   -38.010,      0.353,  4.00000    ,  4.00000    ,  1.41343    , "CONC", "data                      ", "calculated_from_conc      "
  14, 142437796,    0.0650,   -36.590,      0.353,  8.00000    ,  8.00000    ,  2.82686    , "CONC", "data                      ", "calculated_from_conc      "
  15, 142437797,    0.0700,   -35.180,      0.353,  9.00000    ,  9.00000    ,  3.18021    , "CONC", "data                      ", "calculated_from_conc      "
  16, 142437798,    0.0750,   -33.760,      0.352,  4.00000    ,  4.00000    ,  1.40845    , "CONC", "data                      ", "calculated_from_conc      "
  17, 142437799,    0.0800,   -32.340,      0.353,  1.00000    ,  1.00000    , 0.353357    , "CONC", "data                      ", "calculated_from_conc      "
  18, 142437800,    0.0850,   -30.930,      0.353,  7.00000    ,  7.00000    ,  2.47350    , "CONC", "data                      ", "calculated_from_conc      "
  19, 142437801,    0.0900,   -29.510,      0.353,  9.00000    ,  9.00000    ,  3.18021    , "CONC", "data                      ", "calculated_from_conc      "
  20, 142437802,    0.0950,   -28.100,      0.353,  13.0000    ,  13.0000    ,  4.59364    , "CONC", "data                      ", "calculated_from_conc      "
  21, 142437803,    0.1000,   -26.680,      0.471,  10.0000    ,  10.0000    ,  4.70588    , "CONC", "data                      ", "calculated_from_conc      "
  22, 142437804,    0.1100,   -23.850,      0.353,  7.00000    ,  7.00000    ,  2.47350    , "CONC", "data                      ", "calculated_from_conc      "
  23, 142437805,    0.1200,   -21.020,      0.353,  18.0000    ,  18.0000    ,  6.36042    , "CONC", "data                      ", "calculated_from_conc      "
  24, 142437806,    0.1300,   -18.190,      0.353,  23.0000    ,  23.0000    ,  8.12721    , "CONC", "data                      ", "calculated_from_conc      "
  25, 142437807,    0.1400,   -15.360,      0.353,  14.0000    ,  14.0000    ,  4.94700    , "CONC", "data                      ", "calculated_from_conc      "
  26, 142437808,    0.1500,   -12.530,      0.353,  20.0000    ,  20.0000    ,  7.05467    , "CONC", "data                      ", "calculated_from_conc      "
  27, 142437809,    0.1600,    -9.690,      0.353,  20.0000    ,  20.0000    ,  7.05468    , "CONC", "data                      ", "calculated_from_conc      "
  28, 142437810,    0.1700,    -6.860,      0.353,  28.0000    ,  28.0000    ,  9.89400    , "CONC", "data                      ", "calculated_from_conc      "
  29, 142437811,    0.1800,    -4.030,      0.353,  33.0000    ,  33.0000    ,  11.6608    , "CONC", "data                      ", "calculated_from_conc      "
