site0202,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,         1,    2.5000,   -46.000,      1.697,  31.0000    ,  31.0000    ,  52.5953    , "CONC", "data                      ", "calculated_from_conc      "
   2,         2,   12.5000,   543.406,      1.966,  17.0000    ,  17.0000    ,  33.4168    , "CONC", "data                      ", "calculated_from_conc      "
   3,         3,   22.5000,   971.452,      2.418,  65.0000    ,  65.0000    ,  157.165    , "CONC", "data                      ", "calculated_from_conc      "
   4,         4,   32.5000,  1370.562,      2.570,  46.0000    ,  46.0000    ,  118.217    , "CONC", "data                      ", "calculated_from_conc      "
   5,         5,   42.5000,  1749.685,      2.727,  31.0000    ,  31.0000    ,  84.5346    , "CONC", "data                      ", "calculated_from_conc      "
   6,         6,   52.5000,  2103.990,      2.914,  31.0000    ,  31.0000    ,  90.3300    , "CONC", "data                      ", "calculated_from_conc      "
   7,         7,   62.5000,  2436.058,      3.110,  16.0000    ,  16.0000    ,  49.7652    , "CONC", "data                      ", "calculated_from_conc      "
   8,         8,   72.5000,  2747.009,      3.314,  10.0000    ,  10.0000    ,  33.1438    , "CONC", "data                      ", "calculated_from_conc      "
   9,         9,   82.5000,  3039.489,      3.520,  11.0000    ,  11.0000    ,  38.7148    , "CONC", "data                      ", "calculated_from_conc      "
  10,        10,   92.5000,  3315.268,      3.735,  16.0000    ,  16.0000    ,  59.7609    , "CONC", "data                      ", "calculated_from_conc      "
  11,        11,  102.5000,  3574.956,      3.963,  24.0000    ,  24.0000    ,  95.1084    , "CONC", "data                      ", "calculated_from_conc      "
  12,        12,  112.5000,  3819.955,      4.191,  20.0000    ,  20.0000    ,  83.8156    , "CONC", "data                      ", "calculated_from_conc      "
  13,        13,  122.5000,  4052.195,      4.430,  42.0000    ,  42.0000    ,  186.059    , "CONC", "data                      ", "calculated_from_conc      "
  14,        14,  132.5000,  4271.424,      4.673,  14.0000    ,  14.0000    ,  65.4228    , "CONC", "data                      ", "calculated_from_conc      "
  15,        15,  142.5000,  4480.180,      4.927,  7.00000    ,  7.00000    ,  34.4898    , "CONC", "data                      ", "calculated_from_conc      "
  16,        16,  152.5000,  4677.341,      5.190,  24.0000    ,  24.0000    ,  124.569    , "CONC", "data                      ", "calculated_from_conc      "
