site1306,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142448037,    0.0000,   -50.000,      0.049,  20.0000    ,  20.0000    , 0.980873    , "CONC", "data                      ", "calculated_from_conc      "
   2, 142448038,    0.0025,   -44.903,      0.071,  31.0000    ,  31.0000    ,  2.18590    , "CONC", "data                      ", "calculated_from_conc      "
   3, 142448039,    0.0050,   -42.909,      0.095,  27.6700    ,  27.6700    ,  2.61899    , "CONC", "data                      ", "calculated_from_conc      "
   4, 142448040,    0.0075,   -39.620,      0.069,  34.0000    ,  34.0000    ,  2.34512    , "CONC", "data                      ", "calculated_from_conc      "
   5, 142448041,    0.0100,   -35.660,      0.060,  66.3300    ,  66.3300    ,  3.97258    , "CONC", "data                      ", "calculated_from_conc      "
   6, 142448042,    0.0125,   -31.271,      0.055,  79.6700    ,  79.6700    ,  4.38633    , "CONC", "data                      ", "calculated_from_conc      "
   7, 142448043,    0.0150,   -26.578,      0.052,  73.6700    ,  73.6700    ,  3.83027    , "CONC", "data                      ", "calculated_from_conc      "
   8, 142448044,    0.0175,   -21.655,      0.050,  61.0000    ,  61.0000    ,  3.04082    , "CONC", "data                      ", "calculated_from_conc      "
   9, 142448045,    0.0200,   -16.548,      0.048,  111.330    ,  111.330    ,  5.37197    , "CONC", "data                      ", "calculated_from_conc      "
  10, 142448046,    0.0225,   -11.292,      0.047,  132.670    ,  132.670    ,  6.23661    , "CONC", "data                      ", "calculated_from_conc      "
  11, 142448047,    0.0250,    -5.912,      0.046,  135.330    ,  135.330    ,  6.22609    , "CONC", "data                      ", "calculated_from_conc      "
  12, 142448048,    0.0275,    -0.425,      0.045,  143.000    ,  143.000    ,  6.46066    , "CONC", "data                      ", "calculated_from_conc      "
  13, 142448049,    0.0300,     5.155,      0.044,  94.0000    ,  94.0000    ,  4.18135    , "CONC", "data                      ", "calculated_from_conc      "
  14, 142448050,    0.0325,    10.816,      0.044,  105.000    ,  105.000    ,  4.60799    , "CONC", "data                      ", "calculated_from_conc      "
  15, 142448051,    0.0350,    16.548,      0.043,  84.0000    ,  84.0000    ,  3.64287    , "CONC", "data                      ", "calculated_from_conc      "
  16, 142448052,    0.0375,    22.345,      0.043,  94.0000    ,  94.0000    ,  4.03378    , "CONC", "data                      ", "calculated_from_conc      "
  17, 142448053,    0.0400,    28.200,      0.043,  283.000    ,  283.000    ,  12.0302    , "CONC", "data                      ", "calculated_from_conc      "
  18, 142448054,    0.0425,    34.107,      0.042,  206.000    ,  206.000    ,  8.68268    , "CONC", "data                      ", "calculated_from_conc      "
  19, 142448055,    0.0450,    40.063,      0.042,  586.330    ,  586.330    ,  24.5228    , "CONC", "data                      ", "calculated_from_conc      "
  20, 142448056,    0.0475,    46.062,      0.042,  609.000    ,  609.000    ,  25.2919    , "CONC", "data                      ", "calculated_from_conc      "
  21, 142448057,    0.0500,    52.102,      0.041,  1123.00    ,  1123.00    ,  46.3372    , "CONC", "data                      ", "calculated_from_conc      "
  22, 142448058,    0.0525,    58.180,      0.041,  313.330    ,  313.330    ,  12.8517    , "CONC", "data                      ", "calculated_from_conc      "
  23, 142448059,    0.0550,    64.292,      0.041,  205.330    ,  205.330    ,  8.37550    , "CONC", "data                      ", "calculated_from_conc      "
  24, 142448060,    0.0575,    70.438,      0.041,  134.330    ,  134.330    ,  5.45132    , "CONC", "data                      ", "calculated_from_conc      "
  25, 142448061,    0.0600,    76.613,      0.040,  145.000    ,  145.000    ,  5.85624    , "CONC", "data                      ", "calculated_from_conc      "
  26, 142448062,    0.0625,    82.817,      0.040,  119.670    ,  119.670    ,  4.81164    , "CONC", "data                      ", "calculated_from_conc      "
  27, 142448063,    0.0650,    89.049,      0.040,  115.000    ,  115.000    ,  4.60453    , "CONC", "data                      ", "calculated_from_conc      "
  28, 142448064,    0.0675,    95.305,      0.040,  79.3300    ,  79.3300    ,  3.16382    , "CONC", "data                      ", "calculated_from_conc      "
  29, 142448065,    0.0700,   101.586,      0.040,  106.670    ,  106.670    ,  4.23841    , "CONC", "data                      ", "calculated_from_conc      "
  30, 142448066,    0.0725,   107.889,      0.040,  62.3300    ,  62.3300    ,  2.46794    , "CONC", "data                      ", "calculated_from_conc      "
  31, 142448067,    0.0750,   114.214,      0.039,  62.6700    ,  62.6700    ,  2.47317    , "CONC", "data                      ", "calculated_from_conc      "
  32, 142448068,    0.0775,   120.559,      0.039,  56.6700    ,  56.6700    ,  2.22937    , "CONC", "data                      ", "calculated_from_conc      "
  33, 142448069,    0.0800,   126.924,      0.009,  59.0000    ,  59.0000    , 0.552120    , "CONC", "data                      ", "calculated_from_conc      "
