site1304,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142446487,    0.0000,     0.000,      0.351, 0.153846    , 0.153846    , 0.539603E-01, "CONC", "data                      ", "calculated_from_conc      "
   2, 142446488,    0.0100,     2.851,      0.351,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   3, 142446489,    0.0200,     5.702,      0.351, 0.909000E-01, 0.909000E-01, 0.318824E-01, "CONC", "data                      ", "calculated_from_conc      "
   4, 142446490,    0.0300,     8.553,      0.351,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   5, 142446491,    0.0400,    11.404,      0.351, 0.181818    , 0.181818    , 0.637712E-01, "CONC", "data                      ", "calculated_from_conc      "
   6, 142446492,    0.0500,    14.255,      0.351, 0.296875    , 0.296875    , 0.104126    , "CONC", "data                      ", "calculated_from_conc      "
   7, 142446493,    0.0600,    17.107,      0.351, 0.461538    , 0.461538    , 0.161881    , "CONC", "data                      ", "calculated_from_conc      "
   8, 142446494,    0.0700,    19.958,      0.351, 0.352941    , 0.352941    , 0.123791    , "CONC", "data                      ", "calculated_from_conc      "
   9, 142446495,    0.0800,    22.809,      0.351, 0.615385    , 0.615385    , 0.215841    , "CONC", "data                      ", "calculated_from_conc      "
  10, 142446496,    0.0900,    25.660,      0.351, 0.500000    , 0.500000    , 0.175371    , "CONC", "data                      ", "calculated_from_conc      "
  11, 142446497,    0.1000,    28.511,      0.351, 0.454545    , 0.454545    , 0.159428    , "CONC", "data                      ", "calculated_from_conc      "
  12, 142446498,    0.1100,    31.362,      0.351, 0.692308    , 0.692308    , 0.242821    , "CONC", "data                      ", "calculated_from_conc      "
  13, 142446499,    0.1200,    34.213,      0.351, 0.704000    , 0.704000    , 0.246922    , "CONC", "data                      ", "calculated_from_conc      "
  14, 142446500,    0.1300,    37.064,      0.351, 0.500000    , 0.500000    , 0.175371    , "CONC", "data                      ", "calculated_from_conc      "
  15, 142446501,    0.1400,    39.915,      0.351,  1.21429    ,  1.21429    , 0.425901    , "CONC", "data                      ", "calculated_from_conc      "
  16, 142446502,    0.1500,    42.766,      0.351, 0.769231    , 0.769231    , 0.269801    , "CONC", "data                      ", "calculated_from_conc      "
  17, 142446503,    0.1600,    45.618,      0.351,  1.30769    ,  1.30769    , 0.458662    , "CONC", "data                      ", "calculated_from_conc      "
  18, 142446504,    0.1700,    48.469,      0.351,  1.53846    ,  1.53846    , 0.539604    , "CONC", "data                      ", "calculated_from_conc      "
  19, 142446505,    0.1800,    51.320,      0.351,  3.90909    ,  3.90909    ,  1.37108    , "CONC", "data                      ", "calculated_from_conc      "
  20, 142446506,    0.1900,    54.171,      0.351,  3.49593    ,  3.49593    ,  1.22617    , "CONC", "data                      ", "calculated_from_conc      "
  21, 142446507,    0.2000,    57.022,      0.351,  7.15385    ,  7.15385    ,  2.50915    , "CONC", "data                      ", "calculated_from_conc      "
  22, 142446508,    0.2100,    59.873,      0.351,  4.30769    ,  4.30769    ,  1.51089    , "CONC", "data                      ", "calculated_from_conc      "
  23, 142446509,    0.2200,    62.724,      0.351,  2.63636    ,  2.63636    , 0.924684    , "CONC", "data                      ", "calculated_from_conc      "
  24, 142446510,    0.2300,    65.575,      0.351,  1.92308    ,  1.92308    , 0.674502    , "CONC", "data                      ", "calculated_from_conc      "
  25, 142446511,    0.2400,    68.426,      0.351,  1.76923    ,  1.76923    , 0.620546    , "CONC", "data                      ", "calculated_from_conc      "
  26, 142446512,    0.2500,    71.277,      0.351,  3.69231    ,  3.69231    ,  1.29504    , "CONC", "data                      ", "calculated_from_conc      "
  27, 142446513,    0.2600,    74.129,      0.351,  4.00000    ,  4.00000    ,  1.40297    , "CONC", "data                      ", "calculated_from_conc      "
  28, 142446514,    0.2700,    76.980,      0.351,  7.69231    ,  7.69231    ,  2.69801    , "CONC", "data                      ", "calculated_from_conc      "
  29, 142446515,    0.2800,    79.831,      0.351,  5.23077    ,  5.23077    ,  1.83465    , "CONC", "data                      ", "calculated_from_conc      "
  30, 142446516,    0.2900,    82.682,      0.351,  3.78571    ,  3.78571    ,  1.32781    , "CONC", "data                      ", "calculated_from_conc      "
  31, 142446517,    0.3000,    85.533,      0.227,  4.00000    ,  4.00000    , 0.908033    , "CONC", "data                      ", "calculated_from_conc      "
  32, 142446518,    0.3100,    91.492,      0.133,  2.23077    ,  2.23077    , 0.297738    , "CONC", "data                      ", "calculated_from_conc      "
  33, 142446519,    0.3200,   100.518,      0.111,  11.3750    ,  11.3750    ,  1.25964    , "CONC", "data                      ", "calculated_from_conc      "
  34, 142446520,    0.3300,   109.553,      0.111,  6.78832    ,  6.78832    , 0.750933    , "CONC", "data                      ", "calculated_from_conc      "
  35, 142446521,    0.3400,   118.597,      0.111,  12.8182    ,  12.8182    ,  1.41648    , "CONC", "data                      ", "calculated_from_conc      "
  36, 142446522,    0.3500,   127.651,      0.110,  2.75000    ,  2.75000    , 0.303573    , "CONC", "data                      ", "calculated_from_conc      "
  37, 142446523,    0.3600,   136.715,      0.110,  8.46154    ,  8.46154    , 0.933091    , "CONC", "data                      ", "calculated_from_conc      "
  38, 142446524,    0.3700,   145.788,      0.110,  3.35714    ,  3.35714    , 0.369820    , "CONC", "data                      ", "calculated_from_conc      "
  39, 142446525,    0.3800,   154.871,      0.110,  1.26667    ,  1.26667    , 0.139390    , "CONC", "data                      ", "calculated_from_conc      "
  40, 142446526,    0.3900,   163.963,      0.110,  1.00000    ,  1.00000    , 0.109930    , "CONC", "data                      ", "calculated_from_conc      "
  41, 142446527,    0.4000,   173.064,      0.110,  2.41892    ,  2.41892    , 0.265634    , "CONC", "data                      ", "calculated_from_conc      "
  42, 142446528,    0.4100,   182.175,      0.110,  2.33333    ,  2.33333    , 0.255969    , "CONC", "data                      ", "calculated_from_conc      "
  43, 142446529,    0.4200,   191.295,      0.110,  3.13333    ,  3.13333    , 0.343373    , "CONC", "data                      ", "calculated_from_conc      "
  44, 142446530,    0.4300,   200.425,      0.109,  3.46667    ,  3.46667    , 0.379508    , "CONC", "data                      ", "calculated_from_conc      "
  45, 142446531,    0.4400,   209.565,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  46, 142446532,    0.4500,   218.714,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  47, 142446533,    0.4600,   227.872,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  48, 142446534,    0.4700,   237.040,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  49, 142446535,    0.4800,   246.217,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  50, 142446536,    0.4900,   255.404,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  51, 142446537,    0.5000,   264.600,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  52, 142446538,    0.5100,   273.806,      0.109,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  53, 142446539,    0.5200,   283.021,      0.108,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  54, 142446540,    0.5300,   292.246,      0.108,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  55, 142446541,    0.5400,   301.480,      0.108,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  56, 142446542,    0.5500,   310.724,      0.108,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  57, 142446543,    0.5600,   319.977,      0.108,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  58, 142446544,    0.5700,   329.239,      0.108,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  59, 142446545,    0.5800,   338.511,      0.108, 0.250000    , 0.250000    , 0.269488E-01, "CONC", "data                      ", "calculated_from_conc      "
  60, 142446546,    0.5900,   347.793,      0.108,  9.12500    ,  9.12500    , 0.982634    , "CONC", "data                      ", "calculated_from_conc      "
  61, 142446547,    0.6000,   357.084,      0.108,  5.00000    ,  5.00000    , 0.537876    , "CONC", "data                      ", "calculated_from_conc      "
  62, 142446548,    0.6100,   366.385,      0.107,  7.25000    ,  7.25000    , 0.779128    , "CONC", "data                      ", "calculated_from_conc      "
  63, 142446549,    0.6200,   375.695,      0.107,  5.66667    ,  5.66667    , 0.608353    , "CONC", "data                      ", "calculated_from_conc      "
  64, 142446550,    0.6300,   385.014,      0.107,  2.77778    ,  2.77778    , 0.297909    , "CONC", "data                      ", "calculated_from_conc      "
  65, 142446551,    0.6400,   394.343,      0.107,  3.80000    ,  3.80000    , 0.407126    , "CONC", "data                      ", "calculated_from_conc      "
  66, 142446552,    0.6500,   403.681,      0.107,  1.50000    ,  1.50000    , 0.160545    , "CONC", "data                      ", "calculated_from_conc      "
  67, 142446553,    0.6600,   413.029,      0.107,  4.44444    ,  4.44444    , 0.475204    , "CONC", "data                      ", "calculated_from_conc      "
  68, 142446554,    0.6700,   422.387,      0.107,  8.22222    ,  8.22222    , 0.878240    , "CONC", "data                      ", "calculated_from_conc      "
  69, 142446555,    0.6800,   431.754,      0.107,  10.6000    ,  10.6000    ,  1.13107    , "CONC", "data                      ", "calculated_from_conc      "
  70, 142446556,    0.6900,   441.130,      0.107,  10.8750    ,  10.8750    ,  1.15924    , "CONC", "data                      ", "calculated_from_conc      "
  71, 142446557,    0.7000,   450.516,      0.106,  13.0000    ,  13.0000    ,  1.38436    , "CONC", "data                      ", "calculated_from_conc      "
  72, 142446558,    0.7100,   459.911,      0.106,  10.1000    ,  10.1000    ,  1.07446    , "CONC", "data                      ", "calculated_from_conc      "
  73, 142446559,    0.7200,   469.316,      0.106,  12.8750    ,  12.8750    ,  1.36829    , "CONC", "data                      ", "calculated_from_conc      "
  74, 142446560,    0.7300,   478.730,      0.106,  21.8182    ,  21.8182    ,  2.31639    , "CONC", "data                      ", "calculated_from_conc      "
  75, 142446561,    0.7400,   488.154,      0.106,  16.1111    ,  16.1111    ,  1.70877    , "CONC", "data                      ", "calculated_from_conc      "
  76, 142446562,    0.7500,   497.587,      0.106,  8.58333    ,  8.58333    , 0.909441    , "CONC", "data                      ", "calculated_from_conc      "
  77, 142446563,    0.7600,   507.030,      0.106,  19.0000    ,  19.0000    ,  2.01112    , "CONC", "data                      ", "calculated_from_conc      "
  78, 142446564,    0.7700,   516.482,      0.106,  12.5455    ,  12.5455    ,  1.32658    , "CONC", "data                      ", "calculated_from_conc      "
  79, 142446565,    0.7800,   525.944,      0.106,  35.0833    ,  35.0833    ,  3.70610    , "CONC", "data                      ", "calculated_from_conc      "
  80, 142446566,    0.7900,   535.415,      0.106,  41.3846    ,  41.3846    ,  4.36735    , "CONC", "data                      ", "calculated_from_conc      "
  81, 142446567,    0.8000,   544.896,      0.105,  9.30000    ,  9.30000    , 0.980446    , "CONC", "data                      ", "calculated_from_conc      "
  82, 142446568,    0.8100,   554.386,      0.105,  2.84615    ,  2.84615    , 0.299757    , "CONC", "data                      ", "calculated_from_conc      "
  83, 142446569,    0.8200,   563.886,      0.105,  2.16667    ,  2.16667    , 0.227967    , "CONC", "data                      ", "calculated_from_conc      "
  84, 142446570,    0.8300,   573.395,      0.105,  2.41667    ,  2.41667    , 0.254014    , "CONC", "data                      ", "calculated_from_conc      "
  85, 142446571,    0.8400,   582.913,      0.105,  4.07692    ,  4.07692    , 0.428101    , "CONC", "data                      ", "calculated_from_conc      "
  86, 142446572,    0.8500,   592.442,      0.105,  3.91667    ,  3.91667    , 0.410860    , "CONC", "data                      ", "calculated_from_conc      "
  87, 142446573,    0.8600,   601.979,      0.105,  21.4545    ,  21.4545    ,  2.24837    , "CONC", "data                      ", "calculated_from_conc      "
  88, 142446574,    0.8700,   611.526,      0.105,  5.30769    ,  5.30769    , 0.555677    , "CONC", "data                      ", "calculated_from_conc      "
  89, 142446575,    0.8800,   621.083,      0.105,  3.63636    ,  3.63636    , 0.380322    , "CONC", "data                      ", "calculated_from_conc      "
  90, 142446576,    0.8900,   630.649,      0.104,  3.63636    ,  3.63636    , 0.379948    , "CONC", "data                      ", "calculated_from_conc      "
  91, 142446577,    0.9000,   640.224,      0.104,  4.45455    ,  4.45455    , 0.464976    , "CONC", "data                      ", "calculated_from_conc      "
  92, 142446578,    0.9100,   649.809,      0.104,  4.07143    ,  4.07143    , 0.424561    , "CONC", "data                      ", "calculated_from_conc      "
  93, 142446579,    0.9200,   659.403,      0.104,  2.00000    ,  2.00000    , 0.208352    , "CONC", "data                      ", "calculated_from_conc      "
  94, 142446580,    0.9300,   669.007,      0.104,  3.07692    ,  3.07692    , 0.320224    , "CONC", "data                      ", "calculated_from_conc      "
  95, 142446581,    0.9400,   678.621,      0.104,  2.80000    ,  2.80000    , 0.291116    , "CONC", "data                      ", "calculated_from_conc      "
  96, 142446582,    0.9500,   688.244,      0.104,  1.90909    ,  1.90909    , 0.198294    , "CONC", "data                      ", "calculated_from_conc      "
  97, 142446583,    0.9600,   697.876,      0.104,  2.00000    ,  2.00000    , 0.207533    , "CONC", "data                      ", "calculated_from_conc      "
  98, 142446584,    0.9700,   707.518,      0.104,  1.08333    ,  1.08333    , 0.112303    , "CONC", "data                      ", "calculated_from_conc      "
  99, 142446585,    0.9800,   717.169,      0.104,  1.46154    ,  1.46154    , 0.151359    , "CONC", "data                      ", "calculated_from_conc      "
 100, 142446586,    0.9900,   726.830,      0.103,  3.72727    ,  3.72727    , 0.385625    , "CONC", "data                      ", "calculated_from_conc      "
 101, 142446587,    1.0000,   736.500,      0.103,  12.9091    ,  12.9091    ,  1.33427    , "CONC", "data                      ", "calculated_from_conc      "
 102, 142446588,    1.0100,   746.180,      0.103,  45.2000    ,  45.2000    ,  4.66724    , "CONC", "data                      ", "calculated_from_conc      "
 103, 142446589,    1.0200,   755.869,      0.103,  7.08333    ,  7.08333    , 0.730694    , "CONC", "data                      ", "calculated_from_conc      "
 104, 142446590,    1.0300,   765.568,      0.103,  11.7273    ,  11.7273    ,  1.20857    , "CONC", "data                      ", "calculated_from_conc      "
 105, 142446591,    1.0400,   775.276,      0.103,  16.8000    ,  16.8000    ,  1.72966    , "CONC", "data                      ", "calculated_from_conc      "
 106, 142446592,    1.0500,   784.994,      0.103,  15.6000    ,  15.6000    ,  1.60454    , "CONC", "data                      ", "calculated_from_conc      "
 107, 142446593,    1.0600,   794.721,      0.103,  26.5000    ,  26.5000    ,  2.72302    , "CONC", "data                      ", "calculated_from_conc      "
 108, 142446594,    1.0700,   804.457,      0.103,  13.3750    ,  13.3750    ,  1.37301    , "CONC", "data                      ", "calculated_from_conc      "
 109, 142446595,    1.0800,   814.203,      0.103,  9.00000    ,  9.00000    , 0.922995    , "CONC", "data                      ", "calculated_from_conc      "
 110, 142446596,    1.0900,   823.959,      0.102,  10.2500    ,  10.2500    ,  1.05018    , "CONC", "data                      ", "calculated_from_conc      "
 111, 142446597,    1.1000,   833.724,      0.102,  5.80000    ,  5.80000    , 0.593663    , "CONC", "data                      ", "calculated_from_conc      "
 112, 142446598,    1.1100,   843.499,      0.102,  5.90909    ,  5.90909    , 0.604248    , "CONC", "data                      ", "calculated_from_conc      "
 113, 142446599,    1.1200,   853.283,      0.102,  6.63636    ,  6.63636    , 0.677953    , "CONC", "data                      ", "calculated_from_conc      "
 114, 142446600,    1.1300,   863.076,      0.102,  9.87500    ,  9.87500    ,  1.00784    , "CONC", "data                      ", "calculated_from_conc      "
 115, 142446601,    1.1400,   872.879,      0.102,  8.25000    ,  8.25000    , 0.841172    , "CONC", "data                      ", "calculated_from_conc      "
 116, 142446602,    1.1500,   882.692,      0.102,  25.7500    ,  25.7500    ,  2.62295    , "CONC", "data                      ", "calculated_from_conc      "
 117, 142446603,    1.1600,   892.513,      0.102,  3.00000    ,  3.00000    , 0.305292    , "CONC", "data                      ", "calculated_from_conc      "
 118, 142446604,    1.1700,   902.345,      0.102,  3.63636    ,  3.63636    , 0.369695    , "CONC", "data                      ", "calculated_from_conc      "
 119, 142446605,    1.1800,   912.186,      0.102,  5.53846    ,  5.53846    , 0.562532    , "CONC", "data                      ", "calculated_from_conc      "
 120, 142446606,    1.1900,   922.036,      0.101,  6.20000    ,  6.20000    , 0.629115    , "CONC", "data                      ", "calculated_from_conc      "
 121, 142446607,    1.2000,   931.896,      0.101,  6.63636    ,  6.63636    , 0.672743    , "CONC", "data                      ", "calculated_from_conc      "
 122, 142446608,    1.2100,   941.765,      0.101,  8.80000    ,  8.80000    , 0.891227    , "CONC", "data                      ", "calculated_from_conc      "
 123, 142446609,    1.2200,   951.644,      0.101,  9.36364    ,  9.36364    , 0.947390    , "CONC", "data                      ", "calculated_from_conc      "
 124, 142446610,    1.2300,   961.532,      0.101,  19.4000    ,  19.4000    ,  1.96098    , "CONC", "data                      ", "calculated_from_conc      "
 125, 142446611,    1.2400,   971.430,      0.101,  23.3333    ,  23.3333    ,  2.35628    , "CONC", "data                      ", "calculated_from_conc      "
 126, 142446612,    1.2500,   981.338,      0.101,  23.0000    ,  23.0000    ,  2.32042    , "CONC", "data                      ", "calculated_from_conc      "
 127, 142446613,    1.2600,   991.254,      0.101,  22.2143    ,  22.2143    ,  2.23901    , "CONC", "data                      ", "calculated_from_conc      "
 128, 142446614,    1.2700,  1001.180,      0.101,  61.9231    ,  61.9231    ,  6.23534    , "CONC", "data                      ", "calculated_from_conc      "
 129, 142446615,    1.2800,  1011.116,      0.101,  4.15385    ,  4.15385    , 0.417874    , "CONC", "data                      ", "calculated_from_conc      "
 130, 142446616,    1.2900,  1021.061,      0.101,  4.00000    ,  4.00000    , 0.402012    , "CONC", "data                      ", "calculated_from_conc      "
 131, 142446617,    1.3000,  1031.016,      0.100,  3.07143    ,  3.07143    , 0.308396    , "CONC", "data                      ", "calculated_from_conc      "
 132, 142446618,    1.3100,  1040.980,      0.100,  7.88889    ,  7.88889    , 0.791361    , "CONC", "data                      ", "calculated_from_conc      "
 133, 142446619,    1.3200,  1050.954,      0.100,  7.75000    ,  7.75000    , 0.776677    , "CONC", "data                      ", "calculated_from_conc      "
 134, 142446620,    1.3300,  1060.937,      0.100,  13.0909    ,  13.0909    ,  1.31069    , "CONC", "data                      ", "calculated_from_conc      "
 135, 142446621,    1.3400,  1070.929,      0.100,  11.5556    ,  11.5556    ,  1.15586    , "CONC", "data                      ", "calculated_from_conc      "
 136, 142446622,    1.3500,  1080.932,      0.100,  7.50000    ,  7.50000    , 0.749487    , "CONC", "data                      ", "calculated_from_conc      "
 137, 142446623,    1.3600,  1090.943,      0.100,  1.55556    ,  1.55556    , 0.155301    , "CONC", "data                      ", "calculated_from_conc      "
