site0269,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,     43882,    0.0000,   -55.000,      0.069, 0.600000E-01, 0.875400    , 0.600000E-01, "INFL", "calculated_from_influx    ", "data                      "
   2,     43883,    0.0100,   -40.410,      0.062,  0.00000    ,  0.00000    ,  0.00000    , "INFL", "calculated_from_influx    ", "data                      "
   3,     43884,    0.0200,   -22.830,      0.055, 0.500000E-01, 0.903750    , 0.500000E-01, "INFL", "calculated_from_influx    ", "data                      "
   4,     43885,    0.0300,    -4.260,      0.053, 0.800000E-01,  1.52360    , 0.800000E-01, "INFL", "calculated_from_influx    ", "data                      "
   5,     43886,    0.0400,    15.260,      0.050, 0.120000    ,  2.39700    , 0.120000    , "INFL", "calculated_from_influx    ", "data                      "
   6,     43887,    0.0500,    35.690,      0.048, 0.160000    ,  3.33920    , 0.160000    , "INFL", "calculated_from_influx    ", "data                      "
   7,     43888,    0.0600,    57.000,      0.046, 0.320000    ,  6.95360    , 0.320000    , "INFL", "calculated_from_influx    ", "data                      "
   8,     43889,    0.0700,    79.150,      0.044, 0.410000    ,  9.24550    , 0.410000    , "INFL", "calculated_from_influx    ", "data                      "
   9,     43890,    0.0800,   102.100,      0.043, 0.300000    ,  7.00050    , 0.300000    , "INFL", "calculated_from_influx    ", "data                      "
  10,     43891,    0.0900,   125.820,      0.042, 0.250000    ,  6.02250    , 0.250000    , "INFL", "calculated_from_influx    ", "data                      "
  11,     43892,    0.1000,   150.280,      0.040, 0.280000    ,  6.94680    , 0.280000    , "INFL", "calculated_from_influx    ", "data                      "
  12,     43893,    0.1100,   175.440,      0.039, 0.190000    ,  4.84405    , 0.190000    , "INFL", "calculated_from_influx    ", "data                      "
  13,     43894,    0.1200,   201.270,      0.026, 0.300000    ,  11.6970    , 0.300000    , "INFL", "calculated_from_influx    ", "data                      "
  14,     43895,    0.1250,   214.430,      0.038, 0.280000    ,  7.41441    , 0.280000    , "INFL", "calculated_from_influx    ", "data                      "
  15,     43896,    0.1300,   227.750,      0.037, 0.190000    ,  5.08819    , 0.190000    , "INFL", "calculated_from_influx    ", "data                      "
  16,     43897,    0.1350,   241.210,      0.037, 0.180000    ,  4.87440    , 0.180000    , "INFL", "calculated_from_influx    ", "data                      "
  17,     43898,    0.1400,   254.830,      0.037, 0.250000    ,  6.84500    , 0.250000    , "INFL", "calculated_from_influx    ", "data                      "
  18,     43899,    0.1450,   268.590,      0.036, 0.430000    ,  11.8938    , 0.430000    , "INFL", "calculated_from_influx    ", "data                      "
  19,     43900,    0.1500,   282.490,      0.036, 0.360000    ,  10.0584    , 0.360000    , "INFL", "calculated_from_influx    ", "data                      "
  20,     43901,    0.1550,   296.530,      0.035, 0.420000    ,  11.8482    , 0.420000    , "INFL", "calculated_from_influx    ", "data                      "
  21,     43902,    0.1600,   310.700,      0.035, 0.490000    ,  13.9503    , 0.490000    , "INFL", "calculated_from_influx    ", "data                      "
  22,     43903,    0.1650,   325.000,      0.035, 0.470000    ,  13.5031    , 0.470000    , "INFL", "calculated_from_influx    ", "data                      "
  23,     43904,    0.1700,   339.430,      0.035,  3.78000    ,  109.545    ,  3.78000    , "INFL", "calculated_from_influx    ", "data                      "
  24,     43905,    0.1750,   353.980,      0.034,  4.26000    ,  124.477    ,  4.26000    , "INFL", "calculated_from_influx    ", "data                      "
  25,     43906,    0.1800,   368.650,      0.034, 0.540000    ,  15.9084    , 0.540000    , "INFL", "calculated_from_influx    ", "data                      "
  26,     43907,    0.1850,   383.440,      0.034, 0.290000    ,  8.61011    , 0.290000    , "INFL", "calculated_from_influx    ", "data                      "
  27,     43908,    0.1900,   398.340,      0.033, 0.730000    ,  21.8343    , 0.730000    , "INFL", "calculated_from_influx    ", "data                      "
  28,     43909,    0.1950,   413.350,      0.033, 0.430000    ,  12.9559    , 0.430000    , "INFL", "calculated_from_influx    ", "data                      "
  29,     43910,    0.2000,   428.470,      0.033, 0.690000    ,  20.9346    , 0.690000    , "INFL", "calculated_from_influx    ", "data                      "
  30,     43911,    0.2050,   443.690,      0.033, 0.900000    ,  27.4860    , 0.900000    , "INFL", "calculated_from_influx    ", "data                      "
  31,     43912,    0.2100,   459.010,      0.033, 0.680000    ,  20.9032    , 0.680000    , "INFL", "calculated_from_influx    ", "data                      "
  32,     43913,    0.2150,   474.430,      0.032, 0.630000    ,  19.4859    , 0.630000    , "INFL", "calculated_from_influx    ", "data                      "
  33,     43914,    0.2200,   489.940,      0.032, 0.850000    ,  26.4435    , 0.850000    , "INFL", "calculated_from_influx    ", "data                      "
  34,     43915,    0.2250,   505.540,      0.032, 0.240000    ,  7.50958    , 0.240000    , "INFL", "calculated_from_influx    ", "data                      "
  35,     43916,    0.2300,   521.230,      0.032, 0.670000    ,  21.0782    , 0.670000    , "INFL", "calculated_from_influx    ", "data                      "
  36,     43917,    0.2350,   537.000,      0.032,  1.06000    ,  33.5172    ,  1.06000    , "INFL", "calculated_from_influx    ", "data                      "
  37,     43918,    0.2400,   552.850,      0.031,  1.08000    ,  34.3331    ,  1.08000    , "INFL", "calculated_from_influx    ", "data                      "
  38,     43919,    0.2450,   568.790,      0.031, 0.770000    ,  24.6015    , 0.770000    , "INFL", "calculated_from_influx    ", "data                      "
  39,     43920,    0.2500,   584.800,      0.031,  1.41000    ,  45.2470    ,  1.41000    , "INFL", "calculated_from_influx    ", "data                      "
  40,     43921,    0.2550,   600.880,      0.031,  1.13000    ,  36.4200    ,  1.13000    , "INFL", "calculated_from_influx    ", "data                      "
  41,     43922,    0.2600,   617.030,      0.031, 0.880000    ,  28.4856    , 0.880000    , "INFL", "calculated_from_influx    ", "data                      "
  42,     43923,    0.2650,   633.250,      0.031, 0.250000    ,  8.12496    , 0.250000    , "INFL", "calculated_from_influx    ", "data                      "
  43,     43924,    0.2700,   649.530,      0.031, 0.150000    ,  4.89451    , 0.150000    , "INFL", "calculated_from_influx    ", "data                      "
  44,     43925,    0.2750,   665.880,      0.031, 0.640000    ,  20.9600    , 0.640000    , "INFL", "calculated_from_influx    ", "data                      "
  45,     43926,    0.2800,   682.280,      0.030,  1.25000    ,  41.0750    ,  1.25000    , "INFL", "calculated_from_influx    ", "data                      "
  46,     43927,    0.2850,   698.740,      0.030,  1.42000    ,  46.8316    ,  1.42000    , "INFL", "calculated_from_influx    ", "data                      "
  47,     43928,    0.2900,   715.260,      0.030,  1.28000    ,  42.3425    ,  1.28000    , "INFL", "calculated_from_influx    ", "data                      "
  48,     43929,    0.2950,   731.820,      0.030,  2.50000    ,  82.9496    ,  2.50000    , "INFL", "calculated_from_influx    ", "data                      "
  49,     43930,    0.3000,   748.440,      0.030,  6.80000    ,  226.304    ,  6.80000    , "INFL", "calculated_from_influx    ", "data                      "
  50,     43931,    0.3050,   765.100,      0.030,  6.61000    ,  220.510    ,  6.61000    , "INFL", "calculated_from_influx    ", "data                      "
  51,     43932,    0.3100,   781.800,      0.030,  1.57000    ,  52.5166    ,  1.57000    , "INFL", "calculated_from_influx    ", "data                      "
  52,     43933,    0.3150,   798.550,      0.030,  1.39000    ,  46.6207    ,  1.39000    , "INFL", "calculated_from_influx    ", "data                      "
  53,     43934,    0.3200,   815.340,      0.030,  1.17000    ,  39.3237    ,  1.17000    , "INFL", "calculated_from_influx    ", "data                      "
  54,     43935,    0.3250,   832.160,      0.030, 0.930000    ,  31.3222    , 0.930000    , "INFL", "calculated_from_influx    ", "data                      "
  55,     43936,    0.3300,   849.020,      0.030,  1.15000    ,  38.8125    ,  1.15000    , "INFL", "calculated_from_influx    ", "data                      "
  56,     43937,    0.3350,   865.910,      0.030,  2.39000    ,  80.8060    ,  2.39000    , "INFL", "calculated_from_influx    ", "data                      "
  57,     43938,    0.3400,   882.830,      0.030,  1.34000    ,  45.3859    ,  1.34000    , "INFL", "calculated_from_influx    ", "data                      "
  58,     43939,    0.3450,   899.780,      0.029, 0.930000    ,  31.5456    , 0.930000    , "INFL", "calculated_from_influx    ", "data                      "
  59,     43940,    0.3500,   916.750,      0.029, 0.850000    ,  28.8745    , 0.850000    , "INFL", "calculated_from_influx    ", "data                      "
  60,     43941,    0.3550,   933.750,      0.029, 0.930000    ,  31.6292    , 0.930000    , "INFL", "calculated_from_influx    ", "data                      "
  61,     43942,    0.3600,   950.760,      0.029,  1.82000    ,  61.9710    ,  1.82000    , "INFL", "calculated_from_influx    ", "data                      "
  62,     43943,    0.3650,   967.800,      0.029,  2.23000    ,  76.0430    ,  2.23000    , "INFL", "calculated_from_influx    ", "data                      "
  63,     43944,    0.3700,   984.860,      0.029,  3.97000    ,  135.496    ,  3.97000    , "INFL", "calculated_from_influx    ", "data                      "
  64,     43945,    0.3750,  1001.930,      0.029,  1.49000    ,  50.8836    ,  1.49000    , "INFL", "calculated_from_influx    ", "data                      "
  65,     43946,    0.3800,  1019.010,      0.029, 0.700000    ,  23.9260    , 0.700000    , "INFL", "calculated_from_influx    ", "data                      "
  66,     43947,    0.3850,  1036.110,      0.029,  1.04000    ,  35.5680    ,  1.04000    , "INFL", "calculated_from_influx    ", "data                      "
  67,     43948,    0.3900,  1053.210,      0.029, 0.610000    ,  20.8680    , 0.610000    , "INFL", "calculated_from_influx    ", "data                      "
