site1902,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,         1,    0.0000,   -61.000,      0.077,  1.00000    ,  1.00000    , 0.774814E-01, "CONC", "data                      ", "calculated_from_conc      "
   2,         2,    0.0100,   -48.094,      0.077,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   3,         3,    0.0200,   -35.121,      0.077,  1.00000    ,  1.00000    , 0.766873E-01, "CONC", "data                      ", "calculated_from_conc      "
   4,         4,    0.0300,   -22.014,      0.076,  4.50000    ,  4.50000    , 0.340728    , "CONC", "data                      ", "calculated_from_conc      "
   5,         5,    0.0400,    -8.707,      0.074,  4.50000    ,  4.50000    , 0.334800    , "CONC", "data                      ", "calculated_from_conc      "
   6,         6,    0.0500,     4.868,      0.073,  1.50000    ,  1.50000    , 0.109158    , "CONC", "data                      ", "calculated_from_conc      "
   7,         7,    0.0600,    18.777,      0.071,  4.50000    ,  4.50000    , 0.318945    , "CONC", "data                      ", "calculated_from_conc      "
   8,         8,    0.0700,    33.086,      0.069,  1.50000    ,  1.50000    , 0.103140    , "CONC", "data                      ", "calculated_from_conc      "
   9,         9,    0.0800,    47.863,      0.066,  2.00000    ,  2.00000    , 0.132940    , "CONC", "data                      ", "calculated_from_conc      "
  10,        10,    0.0900,    63.175,      0.064,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  11,        11,    0.1000,    79.088,      0.062, 0.500000    , 0.500000    , 0.307747E-01, "CONC", "data                      ", "calculated_from_conc      "
  12,        12,    0.1100,    95.669,      0.059,  1.00000    ,  1.00000    , 0.590017E-01, "CONC", "data                      ", "calculated_from_conc      "
  13,        13,    0.1200,   112.985,      0.056,  2.50000    ,  2.50000    , 0.141107    , "CONC", "data                      ", "calculated_from_conc      "
  14,        14,    0.1300,   131.103,      0.054,  1.50000    ,  1.50000    , 0.808528E-01, "CONC", "data                      ", "calculated_from_conc      "
  15,        15,    0.1400,   150.090,      0.051,  4.50000    ,  4.50000    , 0.231312    , "CONC", "data                      ", "calculated_from_conc      "
  16,        16,    0.1500,   170.012,      0.049,  8.00000    ,  8.00000    , 0.391713    , "CONC", "data                      ", "calculated_from_conc      "
  17,        17,    0.1600,   190.936,      0.047,  11.0000    ,  11.0000    , 0.512612    , "CONC", "data                      ", "calculated_from_conc      "
  18,        18,    0.1700,   212.929,      0.044,  10.0000    ,  10.0000    , 0.443240    , "CONC", "data                      ", "calculated_from_conc      "
  19,        19,    0.1800,   236.058,      0.042,  41.5000    ,  41.5000    ,  1.74881    , "CONC", "data                      ", "calculated_from_conc      "
  20,        20,    0.1900,   260.390,      0.040,  7.50000    ,  7.50000    , 0.300402    , "CONC", "data                      ", "calculated_from_conc      "
  21,        21,    0.2000,   285.991,      0.038,  179.500    ,  179.500    ,  6.83304    , "CONC", "data                      ", "calculated_from_conc      "
  22,        22,    0.2100,   312.929,      0.036,  9.00000    ,  9.00000    , 0.325625    , "CONC", "data                      ", "calculated_from_conc      "
  23,        23,    0.2200,   341.270,      0.034,  10.0000    ,  10.0000    , 0.343930    , "CONC", "data                      ", "calculated_from_conc      "
  24,        24,    0.2300,   371.080,      0.033,  9.50000    ,  9.50000    , 0.310670    , "CONC", "data                      ", "calculated_from_conc      "
  25,        25,    0.2400,   402.428,      0.031,  30.0000    ,  30.0000    , 0.933150    , "CONC", "data                      ", "calculated_from_conc      "
  26,        26,    0.2500,   435.379,      0.030,  45.5000    ,  45.5000    ,  1.34670    , "CONC", "data                      ", "calculated_from_conc      "
  27,        27,    0.2600,   470.000,      0.021,  163.000    ,  163.000    ,  3.38255    , "CONC", "data                      ", "calculated_from_conc      "
  28,        28,    0.2700,   531.756,      0.012,  53.0000    ,  53.0000    , 0.627925    , "CONC", "data                      ", "calculated_from_conc      "
  29,        29,    0.2800,   638.810,      0.008,  7.00000    ,  7.00000    , 0.563327E-01, "CONC", "data                      ", "calculated_from_conc      "
  30,        30,    0.2900,   780.279,      0.007,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  31,        31,    0.3000,   945.280,      0.006,  5.00000    ,  5.00000    , 0.291842E-01, "CONC", "data                      ", "calculated_from_conc      "
  32,        32,    0.3100,  1122.930,      0.006,  5.00000    ,  5.00000    , 0.280061E-01, "CONC", "data                      ", "calculated_from_conc      "
  33,        33,    0.3200,  1302.345,      0.006,  10.5000    ,  10.5000    , 0.600493E-01, "CONC", "data                      ", "calculated_from_conc      "
  34,        34,    0.3300,  1472.643,      0.006,  6.50000    ,  6.50000    , 0.405495E-01, "CONC", "data                      ", "calculated_from_conc      "
  35,        35,    0.3400,  1622.940,      0.007,  2.50000    ,  2.50000    , 0.185384E-01, "CONC", "data                      ", "calculated_from_conc      "
  36,        36,    0.3500,  1742.354,      0.010,  46.5000    ,  46.5000    , 0.471939    , "CONC", "data                      ", "calculated_from_conc      "
  37,        37,    0.3600,  1820.000,      0.016,  7.00000    ,  7.00000    , 0.109754    , "CONC", "data                      ", "calculated_from_conc      "
  38,        38,    0.3700,  1869.912,      0.021,  12.0000    ,  12.0000    , 0.255491    , "CONC", "data                      ", "calculated_from_conc      "
  39,        39,    0.3800,  1913.937,      0.024,  3.50000    ,  3.50000    , 0.843335E-01, "CONC", "data                      ", "calculated_from_conc      "
  40,        40,    0.3900,  1952.915,      0.027,  8.00000    ,  8.00000    , 0.216945    , "CONC", "data                      ", "calculated_from_conc      "
  41,        41,    0.4000,  1987.688,      0.030,  8.00000    ,  8.00000    , 0.241768    , "CONC", "data                      ", "calculated_from_conc      "
  42,        42,    0.4100,  2019.095,      0.033,  2.50000    ,  2.50000    , 0.829361E-01, "CONC", "data                      ", "calculated_from_conc      "
  43,        43,    0.4200,  2047.975,      0.036,  2.50000    ,  2.50000    , 0.891642E-01, "CONC", "data                      ", "calculated_from_conc      "
  44,        44,    0.4300,  2075.171,      0.037,  21.0000    ,  21.0000    , 0.784380    , "CONC", "data                      ", "calculated_from_conc      "
  45,        45,    0.4400,  2101.521,      0.038,  154.500    ,  154.500    ,  5.86395    , "CONC", "data                      ", "calculated_from_conc      "
  46,        46,    0.4500,  2127.866,      0.037,  55.5000    ,  55.5000    ,  2.07379    , "CONC", "data                      ", "calculated_from_conc      "
  47,        47,    0.4600,  2155.046,      0.036,  19.5000    ,  19.5000    , 0.695979    , "CONC", "data                      ", "calculated_from_conc      "
  48,        48,    0.4700,  2183.902,      0.033,  11.0000    ,  11.0000    , 0.365287    , "CONC", "data                      ", "calculated_from_conc      "
