site1303,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142447330,    0.0800,   295.935,      0.027, 0.500000E-01, 0.500000E-01, 0.135690E-02, "CONC", "data                      ", "calculated_from_conc      "
   2, 142447331,    0.1600,   590.723,      0.027, 0.816000E-01, 0.816000E-01, 0.221654E-02, "CONC", "data                      ", "calculated_from_conc      "
   3, 142447332,    0.2400,   884.960,      0.025, 0.152174    , 0.152174    , 0.386687E-02, "CONC", "data                      ", "calculated_from_conc      "
   4, 142447333,    0.3100,  1141.670,      0.027, 0.833000E-01, 0.833000E-01, 0.227564E-02, "CONC", "data                      ", "calculated_from_conc      "
   5, 142447334,    0.3800,  1397.431,      0.027, 0.291667    , 0.291667    , 0.800117E-02, "CONC", "data                      ", "calculated_from_conc      "
   6, 142447335,    0.4500,  1652.011,      0.028, 0.104167    , 0.104167    , 0.287210E-02, "CONC", "data                      ", "calculated_from_conc      "
   7, 142447336,    0.5200,  1905.189,      0.028, 0.142857    , 0.142857    , 0.396245E-02, "CONC", "data                      ", "calculated_from_conc      "
   8, 142447337,    0.5900,  2156.750,      0.031, 0.270270E-01, 0.270270E-01, 0.850067E-03, "CONC", "data                      ", "calculated_from_conc      "
   9, 142447338,    0.6800,  2477.481,      0.017, 0.142857    , 0.142857    , 0.247263E-02, "CONC", "data                      ", "calculated_from_conc      "
  10, 142447339,    0.7200,  2618.952,      0.034, 0.367347    , 0.367347    , 0.125113E-01, "CONC", "data                      ", "calculated_from_conc      "
  11, 142447340,    0.7800,  2829.814,      0.031, 0.204082    , 0.204082    , 0.628367E-02, "CONC", "data                      ", "calculated_from_conc      "
  12, 142447341,    0.8500,  3073.645,      0.034, 0.144444    , 0.144444    , 0.491498E-02, "CONC", "data                      ", "calculated_from_conc      "
  13, 142447342,    0.9500,  3417.587,      0.013, 0.333333    , 0.333333    , 0.448375E-02, "CONC", "data                      ", "calculated_from_conc      "
  14, 142447343,    0.9800,  3519.700,      0.039, 0.107143    , 0.107143    , 0.421842E-02, "CONC", "data                      ", "calculated_from_conc      "
  15, 142447344,    1.0400,  3722.372,      0.032, 0.714000E-01, 0.714000E-01, 0.229058E-02, "CONC", "data                      ", "calculated_from_conc      "
  16, 142447345,    1.1100,  3956.095,      0.030, 0.171875    , 0.171875    , 0.518166E-02, "CONC", "data                      ", "calculated_from_conc      "
  17, 142447346,    1.1800,  4186.750,      0.031, 0.338983    , 0.338983    , 0.103595E-01, "CONC", "data                      ", "calculated_from_conc      "
  18, 142447347,    1.2500,  4414.205,      0.033, 0.417000E-01, 0.417000E-01, 0.138043E-02, "CONC", "data                      ", "calculated_from_conc      "
  19, 142447348,    1.3300,  4670.078,      0.032, 0.107692    , 0.107692    , 0.339696E-02, "CONC", "data                      ", "calculated_from_conc      "
  20, 142447349,    1.4100,  4921.446,      0.032, 0.526000E-01, 0.526000E-01, 0.168970E-02, "CONC", "data                      ", "calculated_from_conc      "
  21, 142447350,    1.4900,  5168.154,      0.033, 0.174603    , 0.174603    , 0.571744E-02, "CONC", "data                      ", "calculated_from_conc      "
  22, 142447351,    1.5700,  5410.064,      0.037, 0.205882    , 0.205882    , 0.766262E-02, "CONC", "data                      ", "calculated_from_conc      "
  23, 142447352,    1.6700,  5705.521,      0.028, 0.160000    , 0.160000    , 0.450170E-02, "CONC", "data                      ", "calculated_from_conc      "
  24, 142447353,    1.7400,  5907.654,      0.049, 0.385000E-01, 0.385000E-01, 0.189738E-02, "CONC", "data                      ", "calculated_from_conc      "
  25, 142447354,    1.9000,  6354.837,      0.033, 0.122951    , 0.122951    , 0.402089E-02, "CONC", "data                      ", "calculated_from_conc      "
  26, 142447355,    2.0300,  6702.683,      0.033, 0.211111    , 0.211111    , 0.696919E-02, "CONC", "data                      ", "calculated_from_conc      "
  27, 142447356,    2.1300,  6960.679,      0.041, 0.254717    , 0.254717    , 0.105311E-01, "CONC", "data                      ", "calculated_from_conc      "
  28, 142447357,    2.2400,  7234.801,      0.041, 0.147826    , 0.147826    , 0.604367E-02, "CONC", "data                      ", "calculated_from_conc      "
  29, 142447358,    2.3500,  7498.791,      0.044, 0.800000E-01, 0.800000E-01, 0.355236E-02, "CONC", "data                      ", "calculated_from_conc      "
  30, 142447359,    2.4700,  7775.288,      0.044,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  31, 142447360,    2.5900,  8039.935,      0.037, 0.279412    , 0.279412    , 0.102867E-01, "CONC", "data                      ", "calculated_from_conc      "
  32, 142447361,    2.6700,  8209.888,      0.048, 0.333333    , 0.333333    , 0.159290E-01, "CONC", "data                      ", "calculated_from_conc      "
  33, 142447362,    2.7500,  8374.753,      0.055, 0.188889    , 0.188889    , 0.103801E-01, "CONC", "data                      ", "calculated_from_conc      "
  34, 142447363,    2.8500,  8573.831,      0.051, 0.556000E-01, 0.556000E-01, 0.284699E-02, "CONC", "data                      ", "calculated_from_conc      "
  35, 142447364,    2.9500,  8765.340,      0.068, 0.163636    , 0.163636    , 0.111169E-01, "CONC", "data                      ", "calculated_from_conc      "
  36, 142447365,    3.1200,  9074.296,      0.053, 0.176923    , 0.176923    , 0.938990E-02, "CONC", "data                      ", "calculated_from_conc      "
  37, 142447366,    3.2700,  9330.597,      0.060, 0.151515    , 0.151515    , 0.911620E-02, "CONC", "data                      ", "calculated_from_conc      "
  38, 142447367,    3.4200,  9572.909,      0.064, 0.317308    , 0.317308    , 0.201648E-01, "CONC", "data                      ", "calculated_from_conc      "
  39, 142447368,    3.5700,  9802.670,      0.064, 0.320000    , 0.320000    , 0.206306E-01, "CONC", "data                      ", "calculated_from_conc      "
  40, 142447369,    3.7100, 10007.215,      0.081, 0.521739    , 0.521739    , 0.422235E-01, "CONC", "data                      ", "calculated_from_conc      "
  41, 142447370,    3.9000, 10272.221,      0.069, 0.164474    , 0.164474    , 0.113459E-01, "CONC", "data                      ", "calculated_from_conc      "
  42, 142447371,    4.0700, 10500.087,      0.105, 0.178947    , 0.178947    , 0.188078E-01, "CONC", "data                      ", "calculated_from_conc      "
  43, 142447372,    4.4500, 10995.328,      0.043,  2.39873    ,  2.39873    , 0.103930    , "CONC", "data                      ", "calculated_from_conc      "
  44, 142447373,    4.6000, 11192.493,      0.064,  1.28431    ,  1.28431    , 0.819225E-01, "CONC", "data                      ", "calculated_from_conc      "
  45, 142447374,    4.7100, 11340.226,      0.062,  1.05263    ,  1.05263    , 0.653754E-01, "CONC", "data                      ", "calculated_from_conc      "
  46, 142447375,    4.7900, 11450.113,      0.099, 0.382716    , 0.382716    , 0.380506E-01, "CONC", "data                      ", "calculated_from_conc      "
  47, 142447376,    4.9800, 11722.434,      0.099, 0.258333    , 0.258333    , 0.256842E-01, "CONC", "data                      ", "calculated_from_conc      "
