site1903,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,         1,    0.0000,   -61.000,      0.066,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   2,         2,    0.0100,   -45.895,      0.066,  13.0000    ,  13.0000    , 0.859487    , "CONC", "data                      ", "calculated_from_conc      "
   3,         3,    0.0200,   -30.749,      0.066,  19.0000    ,  19.0000    ,  1.25113    , "CONC", "data                      ", "calculated_from_conc      "
   4,         4,    0.0300,   -15.522,      0.065,  37.0000    ,  37.0000    ,  2.42022    , "CONC", "data                      ", "calculated_from_conc      "
   5,         5,    0.0400,    -0.174,      0.065,  38.0000    ,  38.0000    ,  2.46271    , "CONC", "data                      ", "calculated_from_conc      "
   6,         6,    0.0500,    15.338,      0.064,  75.0000    ,  75.0000    ,  4.80366    , "CONC", "data                      ", "calculated_from_conc      "
   7,         7,    0.0600,    31.053,      0.063,  43.0000    ,  43.0000    ,  2.71522    , "CONC", "data                      ", "calculated_from_conc      "
   8,         8,    0.0700,    47.011,      0.062,  53.0000    ,  53.0000    ,  3.29175    , "CONC", "data                      ", "calculated_from_conc      "
   9,         9,    0.0800,    63.254,      0.061,  43.0000    ,  43.0000    ,  2.62104    , "CONC", "data                      ", "calculated_from_conc      "
  10,        10,    0.0900,    79.823,      0.060,  39.0000    ,  39.0000    ,  2.32818    , "CONC", "data                      ", "calculated_from_conc      "
  11,        11,    0.1000,    96.757,      0.058,  23.0000    ,  23.0000    ,  1.34209    , "CONC", "data                      ", "calculated_from_conc      "
  12,        12,    0.1100,   114.097,      0.057,  18.0000    ,  18.0000    ,  1.02481    , "CONC", "data                      ", "calculated_from_conc      "
  13,        13,    0.1200,   131.885,      0.055,  41.0000    ,  41.0000    ,  2.27377    , "CONC", "data                      ", "calculated_from_conc      "
  14,        14,    0.1300,   150.161,      0.054,  113.000    ,  113.000    ,  6.09500    , "CONC", "data                      ", "calculated_from_conc      "
  15,        15,    0.1400,   168.965,      0.035,  11.0000    ,  11.0000    , 0.387093    , "CONC", "data                      ", "calculated_from_conc      "
  16,        16,    0.1450,   178.578,      0.052,  13.0000    ,  13.0000    , 0.671035    , "CONC", "data                      ", "calculated_from_conc      "
  17,        17,    0.1500,   188.338,      0.051,  11.0000    ,  11.0000    , 0.559145    , "CONC", "data                      ", "calculated_from_conc      "
  18,        18,    0.1550,   198.251,      0.050,  9.00000    ,  9.00000    , 0.450386    , "CONC", "data                      ", "calculated_from_conc      "
  19,        19,    0.1600,   208.321,      0.049,  4.00000    ,  4.00000    , 0.197016    , "CONC", "data                      ", "calculated_from_conc      "
  20,        20,    0.1650,   218.554,      0.048,  12.0000    ,  12.0000    , 0.581586    , "CONC", "data                      ", "calculated_from_conc      "
  21,        21,    0.1700,   228.954,      0.048,  14.0000    ,  14.0000    , 0.667503    , "CONC", "data                      ", "calculated_from_conc      "
  22,        22,    0.1750,   239.527,      0.047,  10.0000    ,  10.0000    , 0.468951    , "CONC", "data                      ", "calculated_from_conc      "
  23,        23,    0.1800,   250.278,      0.046,  5.00000    ,  5.00000    , 0.230574    , "CONC", "data                      ", "calculated_from_conc      "
  24,        24,    0.1850,   261.212,      0.045,  7.00000    ,  7.00000    , 0.317375    , "CONC", "data                      ", "calculated_from_conc      "
  25,        25,    0.1900,   272.334,      0.045,  20.0000    ,  20.0000    , 0.891383    , "CONC", "data                      ", "calculated_from_conc      "
  26,        26,    0.1950,   283.649,      0.044,  12.0000    ,  12.0000    , 0.525664    , "CONC", "data                      ", "calculated_from_conc      "
  27,        27,    0.2000,   295.162,      0.043,  13.0000    ,  13.0000    , 0.559630    , "CONC", "data                      ", "calculated_from_conc      "
  28,        28,    0.2050,   306.879,      0.042,  14.0000    ,  14.0000    , 0.592185    , "CONC", "data                      ", "calculated_from_conc      "
  29,        29,    0.2100,   318.804,      0.042,  4.00000    ,  4.00000    , 0.166231    , "CONC", "data                      ", "calculated_from_conc      "
  30,        30,    0.2150,   330.942,      0.041,  16.0000    ,  16.0000    , 0.653197    , "CONC", "data                      ", "calculated_from_conc      "
  31,        31,    0.2200,   343.299,      0.040,  32.0000    ,  32.0000    ,  1.28324    , "CONC", "data                      ", "calculated_from_conc      "
  32,        32,    0.2250,   355.879,      0.039,  28.0000    ,  28.0000    ,  1.10284    , "CONC", "data                      ", "calculated_from_conc      "
