site1160,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1, 142437421,    0.0000,   -55.000,      0.833,  1.00000    ,  1.00000    , 0.833335    , "CONC", "data                      ", "calculated_from_conc      "
   2, 142437422,    0.0050,   -54.400,      0.833,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   3, 142437423,    0.0100,   -53.800,      0.833,  1.00000    ,  1.00000    , 0.833335    , "CONC", "data                      ", "calculated_from_conc      "
   4, 142437424,    0.0150,   -53.200,      0.769,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   5, 142437425,    0.0200,   -52.500,      0.667,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   6, 142437426,    0.0250,   -51.700,      0.625,  1.00000    ,  1.00000    , 0.625003    , "CONC", "data                      ", "calculated_from_conc      "
   7, 142437427,    0.0300,   -50.900,      0.625,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
   8, 142437428,    0.0350,   -50.100,      0.625,  2.00000    ,  2.00000    ,  1.24999    , "CONC", "data                      ", "calculated_from_conc      "
   9, 142437429,    0.0400,   -49.300,      0.625,  4.00000    ,  4.00000    ,  2.50002    , "CONC", "data                      ", "calculated_from_conc      "
  10, 142437430,    0.0450,   -48.500,      0.667,  2.00000    ,  2.00000    ,  1.33333    , "CONC", "data                      ", "calculated_from_conc      "
  11, 142437431,    0.0500,   -47.800,      0.667,  1.00000    ,  1.00000    , 0.666667    , "CONC", "data                      ", "calculated_from_conc      "
  12, 142437432,    0.0550,   -47.000,      0.667,  1.00000    ,  1.00000    , 0.666667    , "CONC", "data                      ", "calculated_from_conc      "
  13, 142437433,    0.0600,   -46.300,      0.714,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  14, 142437434,    0.0650,   -45.600,      0.667,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  15, 142437435,    0.0700,   -44.800,      0.714,  1.00000    ,  1.00000    , 0.714289    , "CONC", "data                      ", "calculated_from_conc      "
  16, 142437436,    0.0750,   -44.200,      0.769,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  17, 142437437,    0.0800,   -43.500,      0.769,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  18, 142437438,    0.0850,   -42.900,      0.833,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  19, 142437439,    0.0900,   -42.300,      0.769,  1.00000    ,  1.00000    , 0.769228    , "CONC", "data                      ", "calculated_from_conc      "
  20, 142437440,    0.0950,   -41.600,      0.714,  3.00000    ,  3.00000    ,  2.14287    , "CONC", "data                      ", "calculated_from_conc      "
  21, 142437441,    0.1000,   -40.900,      0.625,  4.00000    ,  4.00000    ,  2.50000    , "CONC", "data                      ", "calculated_from_conc      "
  22, 142437442,    0.1050,   -40.000,      0.588,  1.00000    ,  1.00000    , 0.588234    , "CONC", "data                      ", "calculated_from_conc      "
  23, 142437443,    0.1100,   -39.200,      0.769,  2.00000    ,  2.00000    ,  1.53847    , "CONC", "data                      ", "calculated_from_conc      "
  24, 142437444,    0.1150,   -38.700,      1.111,  1.00000    ,  1.00000    ,  1.11111    , "CONC", "data                      ", "calculated_from_conc      "
  25, 142437445,    0.1200,   -38.300,      1.250,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
