site0052,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,     46277,    0.0100,   -47.000,      0.016,  254.000    ,  254.000    ,  4.03816    , "CONC", "data                      ", "calculated_from_conc      "
   2,     46278,    0.0200,    15.900,      0.016,  330.000    ,  330.000    ,  5.24642    , "CONC", "data                      ", "calculated_from_conc      "
   3,     46279,    0.0300,    78.800,      0.016,  176.000    ,  176.000    ,  2.80032    , "CONC", "data                      ", "calculated_from_conc      "
   4,     46280,    0.0400,   141.600,      0.016,  169.000    ,  169.000    ,  2.68894    , "CONC", "data                      ", "calculated_from_conc      "
   5,     46281,    0.0500,   204.500,      0.016,  128.000    ,  128.000    ,  2.03498    , "CONC", "data                      ", "calculated_from_conc      "
   6,     46282,    0.0600,   267.400,      0.016,  135.000    ,  135.000    ,  2.14626    , "CONC", "data                      ", "calculated_from_conc      "
   7,     46283,    0.0700,   330.300,      0.016,  68.0000    ,  68.0000    ,  1.08194    , "CONC", "data                      ", "calculated_from_conc      "
   8,     46284,    0.0800,   393.100,      0.016,  223.000    ,  223.000    ,  3.54813    , "CONC", "data                      ", "calculated_from_conc      "
   9,     46285,    0.0900,   456.000,      0.016,  231.000    ,  231.000    ,  3.67249    , "CONC", "data                      ", "calculated_from_conc      "
  10,     46286,    0.1000,   518.900,      0.016,  290.000    ,  290.000    ,  4.61049    , "CONC", "data                      ", "calculated_from_conc      "
  11,     46287,    0.1100,   581.800,      0.016,  317.000    ,  317.000    ,  5.04376    , "CONC", "data                      ", "calculated_from_conc      "
  12,     46288,    0.1200,   644.600,      0.016,  153.000    ,  153.000    ,  2.43437    , "CONC", "data                      ", "calculated_from_conc      "
  13,     46289,    0.1300,   707.500,      0.016,  118.000    ,  118.000    ,  1.87599    , "CONC", "data                      ", "calculated_from_conc      "
  14,     46290,    0.1400,   770.400,      0.016,  139.000    ,  139.000    ,  2.20986    , "CONC", "data                      ", "calculated_from_conc      "
  15,     46291,    0.1500,   833.300,      0.016,  299.000    ,  299.000    ,  4.75736    , "CONC", "data                      ", "calculated_from_conc      "
  16,     46292,    0.1600,   896.100,      0.016,  72.0000    ,  72.0000    ,  1.14559    , "CONC", "data                      ", "calculated_from_conc      "
  17,     46293,    0.1700,   959.000,      0.016,  62.0000    ,  62.0000    , 0.985692    , "CONC", "data                      ", "calculated_from_conc      "
  18,     46294,    0.1800,  1021.900,      0.016,  94.0000    ,  94.0000    ,  1.49443    , "CONC", "data                      ", "calculated_from_conc      "
  19,     46295,    0.1900,  1084.800,      0.016,  60.0000    ,  60.0000    , 0.954655    , "CONC", "data                      ", "calculated_from_conc      "
  20,     46296,    0.2000,  1147.600,      0.016,  60.0000    ,  60.0000    , 0.954653    , "CONC", "data                      ", "calculated_from_conc      "
  21,     46297,    0.2100,  1210.500,      0.016,  123.000    ,  123.000    ,  1.95548    , "CONC", "data                      ", "calculated_from_conc      "
  22,     46298,    0.2200,  1273.400,      0.016,  427.000    ,  427.000    ,  6.78855    , "CONC", "data                      ", "calculated_from_conc      "
  23,     46299,    0.2300,  1336.300,      0.016,  167.000    ,  167.000    ,  2.65712    , "CONC", "data                      ", "calculated_from_conc      "
  24,     46300,    0.2400,  1399.100,      0.016,  68.0000    ,  68.0000    ,  1.08194    , "CONC", "data                      ", "calculated_from_conc      "
  25,     46301,    0.2500,  1462.000,      0.019,  240.000    ,  240.000    ,  4.49438    , "CONC", "data                      ", "calculated_from_conc      "
  26,     46302,    0.2600,  1505.900,      0.023,  189.000    ,  189.000    ,  4.30525    , "CONC", "data                      ", "calculated_from_conc      "
  27,     46303,    0.2700,  1549.800,      0.023,  47.0000    ,  47.0000    ,  1.07061    , "CONC", "data                      ", "calculated_from_conc      "
  28,     46304,    0.2800,  1593.700,      0.023,  107.000    ,  107.000    ,  2.43736    , "CONC", "data                      ", "calculated_from_conc      "
  29,     46305,    0.2900,  1637.600,      0.023,  95.0000    ,  95.0000    ,  2.16401    , "CONC", "data                      ", "calculated_from_conc      "
  30,     46306,    0.3000,  1681.500,      0.023,  110.000    ,  110.000    ,  2.50569    , "CONC", "data                      ", "calculated_from_conc      "
  31,     46307,    0.3100,  1725.400,      0.023,  233.000    ,  233.000    ,  5.30751    , "CONC", "data                      ", "calculated_from_conc      "
  32,     46308,    0.3200,  1769.300,      0.023,  178.000    ,  178.000    ,  4.05468    , "CONC", "data                      ", "calculated_from_conc      "
