site0889,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,    121550,    0.0000,   -55.000,      0.649,  17.0000    ,  17.0000    ,  11.0390    , "CONC", "data                      ", "calculated_from_conc      "
   2,    121551,    0.0050,   -54.230,      0.585,  13.0000    ,  13.0000    ,  7.60234    , "CONC", "data                      ", "calculated_from_conc      "
   3,    121552,    0.0100,   -53.290,      0.448,  12.0000    ,  12.0000    ,  5.38117    , "CONC", "data                      ", "calculated_from_conc      "
   4,    121553,    0.0150,   -52.000,      0.295,  8.00000    ,  8.00000    ,  2.35988    , "CONC", "data                      ", "calculated_from_conc      "
   5,    121554,    0.0200,   -49.900,      0.195,  10.0000    ,  10.0000    ,  1.94932    , "CONC", "data                      ", "calculated_from_conc      "
   6,    121555,    0.0250,   -46.870,      0.149,  9.00000    ,  9.00000    ,  1.34529    , "CONC", "data                      ", "calculated_from_conc      "
   7,    121556,    0.0300,   -43.210,      0.131,  9.00000    ,  9.00000    ,  1.17955    , "CONC", "data                      ", "calculated_from_conc      "
   8,    121557,    0.0350,   -39.240,      0.126,  10.0000    ,  10.0000    ,  1.25786    , "CONC", "data                      ", "calculated_from_conc      "
   9,    121558,    0.0400,   -35.260,      0.131,  9.00000    ,  9.00000    ,  1.17647    , "CONC", "data                      ", "calculated_from_conc      "
  10,    121559,    0.0450,   -31.590,      0.149,  9.00000    ,  9.00000    ,  1.33730    , "CONC", "data                      ", "calculated_from_conc      "
  11,    121560,    0.0500,   -28.530,      0.193,  5.00000    ,  5.00000    , 0.963391    , "CONC", "data                      ", "calculated_from_conc      "
  12,    121561,    0.0550,   -26.400,      0.277,  15.0000    ,  15.0000    ,  4.15512    , "CONC", "data                      ", "calculated_from_conc      "
  13,    121562,    0.0600,   -24.920,      0.360,  9.00000    ,  9.00000    ,  3.23741    , "CONC", "data                      ", "calculated_from_conc      "
  14,    121563,    0.0650,   -23.620,      0.407,  17.0000    ,  17.0000    ,  6.91057    , "CONC", "data                      ", "calculated_from_conc      "
  15,    121564,    0.0700,   -22.460,      0.457,  10.0000    ,  10.0000    ,  4.56621    , "CONC", "data                      ", "calculated_from_conc      "
  16,    121565,    0.0750,   -21.430,      0.510,  5.00000    ,  5.00000    ,  2.55102    , "CONC", "data                      ", "calculated_from_conc      "
  17,    121566,    0.0800,   -20.500,      0.562,  30.0000    ,  30.0000    ,  16.8539    , "CONC", "data                      ", "calculated_from_conc      "
  18,    121567,    0.0850,   -19.650,      0.606,  19.0000    ,  19.0000    ,  11.5152    , "CONC", "data                      ", "calculated_from_conc      "
  19,    121568,    0.0900,   -18.850,      0.645,  20.0000    ,  20.0000    ,  12.9032    , "CONC", "data                      ", "calculated_from_conc      "
  20,    121569,    0.0950,   -18.100,      0.680,  12.0000    ,  12.0000    ,  8.16326    , "CONC", "data                      ", "calculated_from_conc      "
  21,    121570,    0.1000,   -17.380,      0.730,  14.0000    ,  14.0000    ,  10.2190    , "CONC", "data                      ", "calculated_from_conc      "
  22,    121571,    0.1050,   -16.730,      0.794,  4.00000    ,  4.00000    ,  3.17461    , "CONC", "data                      ", "calculated_from_conc      "
  23,    121572,    0.1100,   -16.120,      0.847,  9.00000    ,  9.00000    ,  7.62713    , "CONC", "data                      ", "calculated_from_conc      "
  24,    121573,    0.1150,   -15.550,      0.901,  5.00000    ,  5.00000    ,  4.50450    , "CONC", "data                      ", "calculated_from_conc      "
  25,    121574,    0.1200,   -15.010,      0.935,  15.0000    ,  15.0000    ,  14.0187    , "CONC", "data                      ", "calculated_from_conc      "
  26,    121575,    0.1250,   -14.480,      0.935,  12.0000    ,  12.0000    ,  11.2149    , "CONC", "data                      ", "calculated_from_conc      "
  27,    121576,    0.1300,   -13.940,      0.926,  6.00000    ,  6.00000    ,  5.55557    , "CONC", "data                      ", "calculated_from_conc      "
  28,    121577,    0.1350,   -13.400,      0.926,  17.0000    ,  17.0000    ,  15.7407    , "CONC", "data                      ", "calculated_from_conc      "
  29,    121578,    0.1400,   -12.860,      0.971,  8.00000    ,  8.00000    ,  7.76698    , "CONC", "data                      ", "calculated_from_conc      "
  30,    121579,    0.1450,   -12.370,      1.042,  8.00000    ,  8.00000    ,  8.33335    , "CONC", "data                      ", "calculated_from_conc      "
  31,    121580,    0.1500,   -11.900,      1.064,  8.00000    ,  8.00000    ,  8.51063    , "CONC", "data                      ", "calculated_from_conc      "
  32,    121581,    0.1550,   -11.430,      1.064,  20.0000    ,  20.0000    ,  21.2766    , "CONC", "data                      ", "calculated_from_conc      "
  33,    121582,    0.1600,   -10.960,      1.020,  8.00000    ,  8.00000    ,  8.16328    , "CONC", "data                      ", "calculated_from_conc      "
  34,    121583,    0.1650,   -10.450,      0.943,  4.00000    ,  4.00000    ,  3.77358    , "CONC", "data                      ", "calculated_from_conc      "
  35,    121584,    0.1700,    -9.900,      0.862,  16.0000    ,  16.0000    ,  13.7931    , "CONC", "data                      ", "calculated_from_conc      "
  36,    121585,    0.1750,    -9.290,      0.769,  6.00000    ,  6.00000    ,  4.61540    , "CONC", "data                      ", "calculated_from_conc      "
  37,    121586,    0.1800,    -8.600,      0.654,  7.00000    ,  7.00000    ,  4.57516    , "CONC", "data                      ", "calculated_from_conc      "
  38,    121587,    0.1850,    -7.760,      0.538,  10.0000    ,  10.0000    ,  5.37634    , "CONC", "data                      ", "calculated_from_conc      "
  39,    121588,    0.1900,    -6.740,      0.461,  13.0000    ,  13.0000    ,  5.99078    , "CONC", "data                      ", "calculated_from_conc      "
  40,    121589,    0.1950,    -5.590,      0.413,  5.00000    ,  5.00000    ,  2.06612    , "CONC", "data                      ", "calculated_from_conc      "
  41,    121590,    0.2000,    -4.320,      0.383,  4.00000    ,  4.00000    ,  1.53257    , "CONC", "data                      ", "calculated_from_conc      "
  42,    121591,    0.2050,    -2.980,      0.366,  3.00000    ,  3.00000    ,  1.09890    , "CONC", "data                      ", "calculated_from_conc      "
  43,    121592,    0.2100,    -1.590,      0.360,  1.00000    ,  1.00000    , 0.359713    , "CONC", "data                      ", "calculated_from_conc      "
  44,    121593,    0.2150,    -0.200,      0.351,  6.00000    ,  6.00000    ,  2.10526    , "CONC", "data                      ", "calculated_from_conc      "
  45,    121594,    0.2200,     1.260,      0.327,  27.0000    ,  27.0000    ,  8.82352    , "CONC", "data                      ", "calculated_from_conc      "
  46,    121595,    0.2250,     2.860,      0.304,  13.0000    ,  13.0000    ,  3.95138    , "CONC", "data                      ", "calculated_from_conc      "
  47,    121596,    0.2300,     4.550,      0.292,  12.0000    ,  12.0000    ,  3.50877    , "CONC", "data                      ", "calculated_from_conc      "
  48,    121597,    0.2350,     6.280,      0.287,  8.00000    ,  8.00000    ,  2.29226    , "CONC", "data                      ", "calculated_from_conc      "
  49,    121598,    0.2400,     8.040,      0.287,  2.00000    ,  2.00000    , 0.573067    , "CONC", "data                      ", "calculated_from_conc      "
  50,    121599,    0.2450,     9.770,      0.295,  3.00000    ,  3.00000    , 0.884955    , "CONC", "data                      ", "calculated_from_conc      "
  51,    121600,    0.2500,    11.430,      0.310,  6.00000    ,  6.00000    ,  1.85758    , "CONC", "data                      ", "calculated_from_conc      "
  52,    121601,    0.2550,    13.000,      0.332,  4.00000    ,  4.00000    ,  1.32890    , "CONC", "data                      ", "calculated_from_conc      "
  53,    121602,    0.2600,    14.440,      0.357,  4.00000    ,  4.00000    ,  1.42857    , "CONC", "data                      ", "calculated_from_conc      "
  54,    121603,    0.2650,    15.800,      0.375,  7.00000    ,  7.00000    ,  2.62173    , "CONC", "data                      ", "calculated_from_conc      "
  55,    121604,    0.2700,    17.110,      0.385,  3.00000    ,  3.00000    ,  1.15385    , "CONC", "data                      ", "calculated_from_conc      "
  56,    121605,    0.2750,    18.400,      0.388,  11.0000    ,  11.0000    ,  4.26356    , "CONC", "data                      ", "calculated_from_conc      "
  57,    121606,    0.2800,    19.690,      0.379,  5.00000    ,  5.00000    ,  1.89394    , "CONC", "data                      ", "calculated_from_conc      "
  58,    121607,    0.2850,    21.040,      0.361,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  59,    121608,    0.2900,    22.460,      0.338,  1.00000    ,  1.00000    , 0.337838    , "CONC", "data                      ", "calculated_from_conc      "
  60,    121609,    0.2950,    24.000,      0.316,  0.00000    ,  0.00000    ,  0.00000    , "CONC", "data                      ", "calculated_from_conc      "
  61,    121610,    0.3000,    25.620,      0.301,  7.00000    ,  7.00000    ,  2.10843    , "CONC", "data                      ", "calculated_from_conc      "
  62,    121611,    0.3050,    27.320,      0.288,  1.00000    ,  1.00000    , 0.288184    , "CONC", "data                      ", "calculated_from_conc      "
  63,    121612,    0.3100,    29.090,      0.276,  1.00000    ,  1.00000    , 0.276243    , "CONC", "data                      ", "calculated_from_conc      "
  64,    121613,    0.3150,    30.940,      0.265,  12.0000    ,  12.0000    ,  3.17460    , "CONC", "data                      ", "calculated_from_conc      "
  65,    121614,    0.3200,    32.870,      0.252,  5.00000    ,  5.00000    ,  1.25944    , "CONC", "data                      ", "calculated_from_conc      "
  66,    121615,    0.3250,    34.910,      0.240,  6.00000    ,  6.00000    ,  1.43886    , "CONC", "data                      ", "calculated_from_conc      "
  67,    121616,    0.3300,    37.040,      0.228,  3.00000    ,  3.00000    , 0.683371    , "CONC", "data                      ", "calculated_from_conc      "
  68,    121617,    0.3350,    39.300,      0.215,  8.00000    ,  8.00000    ,  1.71674    , "CONC", "data                      ", "calculated_from_conc      "
  69,    121618,    0.3400,    41.700,      0.201,  8.00000    ,  8.00000    ,  1.60642    , "CONC", "data                      ", "calculated_from_conc      "
