site0053,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,     46518,    0.0100,   -48.000,      0.043,  46.0000    ,  46.0000    ,  1.98276    , "CONC", "data                      ", "calculated_from_conc      "
   2,     46519,    0.0200,   -24.800,      0.043,  42.0000    ,  42.0000    ,  1.81034    , "CONC", "data                      ", "calculated_from_conc      "
   3,     46520,    0.0300,    -1.600,      0.043,  39.0000    ,  39.0000    ,  1.68103    , "CONC", "data                      ", "calculated_from_conc      "
   4,     46521,    0.0400,    21.600,      0.043,  61.0000    ,  61.0000    ,  2.62931    , "CONC", "data                      ", "calculated_from_conc      "
   5,     46522,    0.0500,    44.800,      0.043,  43.0000    ,  43.0000    ,  1.85345    , "CONC", "data                      ", "calculated_from_conc      "
   6,     46523,    0.0600,    68.000,      0.043,  52.0000    ,  52.0000    ,  2.24138    , "CONC", "data                      ", "calculated_from_conc      "
   7,     46524,    0.0700,    91.200,      0.043,  58.0000    ,  58.0000    ,  2.50000    , "CONC", "data                      ", "calculated_from_conc      "
   8,     46525,    0.0800,   114.400,      0.043,  19.0000    ,  19.0000    , 0.818966    , "CONC", "data                      ", "calculated_from_conc      "
   9,     46526,    0.0900,   137.600,      0.043,  20.0000    ,  20.0000    , 0.862069    , "CONC", "data                      ", "calculated_from_conc      "
  10,     46527,    0.1000,   160.800,      0.043,  18.0000    ,  18.0000    , 0.775862    , "CONC", "data                      ", "calculated_from_conc      "
  11,     46528,    0.1100,   184.000,      0.033,  43.0000    ,  43.0000    ,  1.40523    , "CONC", "data                      ", "calculated_from_conc      "
  12,     46529,    0.1200,   222.000,      0.026,  49.0000    ,  49.0000    ,  1.28947    , "CONC", "data                      ", "calculated_from_conc      "
  13,     46530,    0.1300,   260.000,      0.026,  66.0000    ,  66.0000    ,  1.73684    , "CONC", "data                      ", "calculated_from_conc      "
  14,     46531,    0.1400,   298.000,      0.026,  70.0000    ,  70.0000    ,  1.84211    , "CONC", "data                      ", "calculated_from_conc      "
  15,     46532,    0.1500,   336.000,      0.026,  116.000    ,  116.000    ,  3.05263    , "CONC", "data                      ", "calculated_from_conc      "
  16,     46533,    0.1600,   374.000,      0.026,  91.0000    ,  91.0000    ,  2.39474    , "CONC", "data                      ", "calculated_from_conc      "
  17,     46534,    0.1700,   412.000,      0.026,  92.0000    ,  92.0000    ,  2.42105    , "CONC", "data                      ", "calculated_from_conc      "
  18,     46535,    0.1800,   450.000,      0.026,  70.0000    ,  70.0000    ,  1.84210    , "CONC", "data                      ", "calculated_from_conc      "
  19,     46536,    0.1900,   488.000,      0.026,  49.0000    ,  49.0000    ,  1.28947    , "CONC", "data                      ", "calculated_from_conc      "
  20,     46537,    0.2000,   526.000,      0.026,  92.0000    ,  92.0000    ,  2.42105    , "CONC", "data                      ", "calculated_from_conc      "
  21,     46538,    0.2100,   564.000,      0.026,  149.000    ,  149.000    ,  3.92105    , "CONC", "data                      ", "calculated_from_conc      "
  22,     46539,    0.2200,   602.000,      0.026,  67.0000    ,  67.0000    ,  1.76316    , "CONC", "data                      ", "calculated_from_conc      "
  23,     46540,    0.2300,   640.000,      0.026,  47.0000    ,  47.0000    ,  1.23684    , "CONC", "data                      ", "calculated_from_conc      "
  24,     46541,    0.2400,   678.000,      0.026,  52.0000    ,  52.0000    ,  1.36842    , "CONC", "data                      ", "calculated_from_conc      "
  25,     46542,    0.2500,   716.000,      0.026,  25.0000    ,  25.0000    , 0.657894    , "CONC", "data                      ", "calculated_from_conc      "
  26,     46543,    0.2600,   754.000,      0.026,  91.0000    ,  91.0000    ,  2.39474    , "CONC", "data                      ", "calculated_from_conc      "
  27,     46544,    0.2700,   792.000,      0.026,  147.000    ,  147.000    ,  3.86842    , "CONC", "data                      ", "calculated_from_conc      "
  28,     46545,    0.2800,   830.000,      0.026,  85.0000    ,  85.0000    ,  2.23684    , "CONC", "data                      ", "calculated_from_conc      "
  29,     46546,    0.2900,   868.000,      0.026,  83.0000    ,  83.0000    ,  2.18422    , "CONC", "data                      ", "calculated_from_conc      "
  30,     46547,    0.3000,   906.000,      0.026,  70.0000    ,  70.0000    ,  1.84210    , "CONC", "data                      ", "calculated_from_conc      "
  31,     46548,    0.3100,   944.000,      0.026,  111.000    ,  111.000    ,  2.92105    , "CONC", "data                      ", "calculated_from_conc      "
  32,     46549,    0.3200,   982.000,      0.026,  170.000    ,  170.000    ,  4.47369    , "CONC", "data                      ", "calculated_from_conc      "
  33,     46550,    0.3300,  1020.000,      0.026,  82.0000    ,  82.0000    ,  2.15789    , "CONC", "data                      ", "calculated_from_conc      "
  34,     46551,    0.3400,  1058.000,      0.026,  77.0000    ,  77.0000    ,  2.02631    , "CONC", "data                      ", "calculated_from_conc      "
  35,     46552,    0.3500,  1096.000,      0.026,  77.0000    ,  77.0000    ,  2.02632    , "CONC", "data                      ", "calculated_from_conc      "
  36,     46553,    0.3600,  1134.000,      0.026,  166.000    ,  166.000    ,  4.36842    , "CONC", "data                      ", "calculated_from_conc      "
  37,     46554,    0.3700,  1172.000,      0.026,  118.000    ,  118.000    ,  3.10526    , "CONC", "data                      ", "calculated_from_conc      "
  38,     46555,    0.3800,  1210.000,      0.026,  87.0000    ,  87.0000    ,  2.28947    , "CONC", "data                      ", "calculated_from_conc      "
