site0268,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,     43361,    0.0000,   -50.000,      0.263,  52.0000    ,  52.0000    ,  13.6842    , "CONC", "data                      ", "calculated_from_conc      "
   2,     43362,    0.0050,   -48.100,      0.258,  57.0000    ,  57.0000    ,  14.7287    , "CONC", "data                      ", "calculated_from_conc      "
   3,     43363,    0.0100,   -46.130,      0.250,  82.0000    ,  82.0000    ,  20.5000    , "CONC", "data                      ", "calculated_from_conc      "
   4,     43364,    0.0150,   -44.100,      0.242,  139.000    ,  139.000    ,  33.6562    , "CONC", "data                      ", "calculated_from_conc      "
   5,     43365,    0.0200,   -42.000,      0.235,  56.0000    ,  56.0000    ,  13.1455    , "CONC", "data                      ", "calculated_from_conc      "
   6,     43366,    0.0250,   -39.840,      0.228,  125.000    ,  125.000    ,  28.5388    , "CONC", "data                      ", "calculated_from_conc      "
   7,     43367,    0.0300,   -37.620,      0.222,  92.0000    ,  92.0000    ,  20.3991    , "CONC", "data                      ", "calculated_from_conc      "
   8,     43368,    0.0350,   -35.330,      0.215,  291.000    ,  291.000    ,  62.5807    , "CONC", "data                      ", "calculated_from_conc      "
   9,     43369,    0.0400,   -32.970,      0.209,  181.000    ,  181.000    ,  37.8661    , "CONC", "data                      ", "calculated_from_conc      "
  10,     43370,    0.0450,   -30.550,      0.204,  890.000    ,  890.000    ,  181.633    , "CONC", "data                      ", "calculated_from_conc      "
  11,     43371,    0.0500,   -28.070,      0.199,  265.000    ,  265.000    ,  52.6839    , "CONC", "data                      ", "calculated_from_conc      "
  12,     43372,    0.0550,   -25.520,      0.194,  32.0000    ,  32.0000    ,  6.20155    , "CONC", "data                      ", "calculated_from_conc      "
  13,     43373,    0.0600,   -22.910,      0.189,  93.0000    ,  93.0000    ,  17.5803    , "CONC", "data                      ", "calculated_from_conc      "
  14,     43374,    0.0650,   -20.230,      0.185,  57.0000    ,  57.0000    ,  10.5166    , "CONC", "data                      ", "calculated_from_conc      "
  15,     43375,    0.0700,   -17.490,      0.181,  39.0000    ,  39.0000    ,  7.03971    , "CONC", "data                      ", "calculated_from_conc      "
  16,     43376,    0.0750,   -14.690,      0.176,  19.0000    ,  19.0000    ,  3.35097    , "CONC", "data                      ", "calculated_from_conc      "
  17,     43377,    0.0800,   -11.820,      0.172,  68.0000    ,  68.0000    ,  11.7040    , "CONC", "data                      ", "calculated_from_conc      "
  18,     43378,    0.0850,    -8.880,      0.168,  27.0000    ,  27.0000    ,  4.54546    , "CONC", "data                      ", "calculated_from_conc      "
  19,     43379,    0.0900,    -5.880,      0.165,  51.0000    ,  51.0000    ,  8.41583    , "CONC", "data                      ", "calculated_from_conc      "
  20,     43380,    0.0950,    -2.820,      0.162,  78.0000    ,  78.0000    ,  12.6010    , "CONC", "data                      ", "calculated_from_conc      "
  21,     43381,    0.1000,     0.310,      0.158,  135.000    ,  135.000    ,  21.3607    , "CONC", "data                      ", "calculated_from_conc      "
  22,     43382,    0.1050,     3.500,      0.155,  89.0000    ,  89.0000    ,  13.7985    , "CONC", "data                      ", "calculated_from_conc      "
  23,     43383,    0.1100,     6.760,      0.152,  40.0000    ,  40.0000    ,  6.07903    , "CONC", "data                      ", "calculated_from_conc      "
  24,     43384,    0.1150,    10.080,      0.149,  116.000    ,  116.000    ,  17.2876    , "CONC", "data                      ", "calculated_from_conc      "
  25,     43385,    0.1200,    13.470,      0.146,  58.0000    ,  58.0000    ,  8.47954    , "CONC", "data                      ", "calculated_from_conc      "
  26,     43386,    0.1250,    16.920,      0.143,  99.0000    ,  99.0000    ,  14.2037    , "CONC", "data                      ", "calculated_from_conc      "
  27,     43387,    0.1300,    20.440,      0.141,  97.0000    ,  97.0000    ,  13.6620    , "CONC", "data                      ", "calculated_from_conc      "
  28,     43388,    0.1350,    24.020,      0.139,  83.0000    ,  83.0000    ,  11.4958    , "CONC", "data                      ", "calculated_from_conc      "
  29,     43389,    0.1400,    27.660,      0.136,  149.000    ,  149.000    ,  20.2721    , "CONC", "data                      ", "calculated_from_conc      "
  30,     43390,    0.1450,    31.370,      0.134,  157.000    ,  157.000    ,  20.9893    , "CONC", "data                      ", "calculated_from_conc      "
  31,     43391,    0.1500,    35.140,      0.131,  86.0000    ,  86.0000    ,  11.3009    , "CONC", "data                      ", "calculated_from_conc      "
  32,     43392,    0.1550,    38.980,      0.129,  117.000    ,  117.000    ,  15.0968    , "CONC", "data                      ", "calculated_from_conc      "
  33,     43393,    0.1600,    42.890,      0.127,  87.0000    ,  87.0000    ,  11.0547    , "CONC", "data                      ", "calculated_from_conc      "
  34,     43394,    0.1650,    46.850,      0.125,  164.000    ,  164.000    ,  20.5256    , "CONC", "data                      ", "calculated_from_conc      "
  35,     43395,    0.1700,    50.880,      0.123,  129.000    ,  129.000    ,  15.8671    , "CONC", "data                      ", "calculated_from_conc      "
  36,     43396,    0.1750,    54.980,      0.121,  98.0000    ,  98.0000    ,  11.8644    , "CONC", "data                      ", "calculated_from_conc      "
  37,     43397,    0.1800,    59.140,      0.119,  48.0000    ,  48.0000    ,  5.72109    , "CONC", "data                      ", "calculated_from_conc      "
  38,     43398,    0.1850,    63.370,      0.117,  46.0000    ,  46.0000    ,  5.39905    , "CONC", "data                      ", "calculated_from_conc      "
  39,     43399,    0.1900,    67.660,      0.116,  68.0000    ,  68.0000    ,  7.87036    , "CONC", "data                      ", "calculated_from_conc      "
  40,     43400,    0.1950,    72.010,      0.114,  79.0000    ,  79.0000    ,  9.00800    , "CONC", "data                      ", "calculated_from_conc      "
  41,     43401,    0.2000,    76.430,      0.112,  90.0000    ,  90.0000    ,  10.1123    , "CONC", "data                      ", "calculated_from_conc      "
  42,     43402,    0.2050,    80.910,      0.111,  99.0000    ,  99.0000    ,  10.9634    , "CONC", "data                      ", "calculated_from_conc      "
  43,     43403,    0.2100,    85.460,      0.109,  142.000    ,  142.000    ,  15.5022    , "CONC", "data                      ", "calculated_from_conc      "
  44,     43404,    0.2150,    90.070,      0.108,  268.000    ,  268.000    ,  28.8482    , "CONC", "data                      ", "calculated_from_conc      "
  45,     43405,    0.2200,    94.750,      0.106,  134.000    ,  134.000    ,  14.2250    , "CONC", "data                      ", "calculated_from_conc      "
  46,     43406,    0.2250,    99.490,      0.105,  155.000    ,  155.000    ,  16.2304    , "CONC", "data                      ", "calculated_from_conc      "
  47,     43407,    0.2300,   104.300,      0.103,  49.0000    ,  49.0000    ,  5.06198    , "CONC", "data                      ", "calculated_from_conc      "
  48,     43408,    0.2350,   109.170,      0.102,  124.000    ,  124.000    ,  12.6531    , "CONC", "data                      ", "calculated_from_conc      "
  49,     43409,    0.2400,   114.100,      0.101,  137.000    ,  137.000    ,  13.7966    , "CONC", "data                      ", "calculated_from_conc      "
  50,     43410,    0.2450,   119.100,      0.099,  97.0000    ,  97.0000    ,  9.63256    , "CONC", "data                      ", "calculated_from_conc      "
  51,     43411,    0.2500,   124.170,      0.098,  184.000    ,  184.000    ,  18.0392    , "CONC", "data                      ", "calculated_from_conc      "
  52,     43412,    0.2550,   129.300,      0.097,  84.0000    ,  84.0000    ,  8.13952    , "CONC", "data                      ", "calculated_from_conc      "
  53,     43413,    0.2600,   134.490,      0.096,  121.000    ,  121.000    ,  11.5789    , "CONC", "data                      ", "calculated_from_conc      "
  54,     43414,    0.2650,   139.750,      0.095,  129.000    ,  129.000    ,  12.1929    , "CONC", "data                      ", "calculated_from_conc      "
  55,     43415,    0.2700,   145.070,      0.093,  121.000    ,  121.000    ,  11.2978    , "CONC", "data                      ", "calculated_from_conc      "
  56,     43416,    0.2750,   150.460,      0.092,  105.000    ,  105.000    ,  9.68634    , "CONC", "data                      ", "calculated_from_conc      "
  57,     43417,    0.2800,   155.910,      0.091,  148.000    ,  148.000    ,  13.5036    , "CONC", "data                      ", "calculated_from_conc      "
  58,     43418,    0.2850,   161.420,      0.090,  179.000    ,  179.000    ,  16.1407    , "CONC", "data                      ", "calculated_from_conc      "
  59,     43419,    0.2900,   167.000,      0.089,  116.000    ,  116.000    ,  10.3295    , "CONC", "data                      ", "calculated_from_conc      "
  60,     43420,    0.2950,   172.650,      0.088,  52.0000    ,  52.0000    ,  4.57749    , "CONC", "data                      ", "calculated_from_conc      "
  61,     43421,    0.3000,   178.360,      0.087,  99.0000    ,  99.0000    ,  8.62368    , "CONC", "data                      ", "calculated_from_conc      "
  62,     43422,    0.3050,   184.130,      0.086,  111.000    ,  111.000    ,  9.56071    , "CONC", "data                      ", "calculated_from_conc      "
  63,     43423,    0.3100,   189.970,      0.085,  97.0000    ,  97.0000    ,  8.26235    , "CONC", "data                      ", "calculated_from_conc      "
  64,     43424,    0.3150,   195.870,      0.084,  111.000    ,  111.000    ,  9.35130    , "CONC", "data                      ", "calculated_from_conc      "
  65,     43425,    0.3200,   201.840,      0.083,  181.000    ,  181.000    ,  15.0833    , "CONC", "data                      ", "calculated_from_conc      "
  66,     43426,    0.3250,   207.870,      0.082,  105.000    ,  105.000    ,  8.65626    , "CONC", "data                      ", "calculated_from_conc      "
  67,     43427,    0.3300,   213.970,      0.082,  137.000    ,  137.000    ,  11.1745    , "CONC", "data                      ", "calculated_from_conc      "
  68,     43428,    0.3350,   220.130,      0.081,  191.000    ,  191.000    ,  15.4156    , "CONC", "data                      ", "calculated_from_conc      "
  69,     43429,    0.3400,   226.360,      0.080,  154.000    ,  154.000    ,  12.3003    , "CONC", "data                      ", "calculated_from_conc      "
  70,     43430,    0.3450,   232.650,      0.079,  366.000    ,  366.000    ,  28.9557    , "CONC", "data                      ", "calculated_from_conc      "
  71,     43431,    0.3500,   239.000,      0.078,  149.000    ,  149.000    ,  11.6680    , "CONC", "data                      ", "calculated_from_conc      "
  72,     43432,    0.3550,   245.420,      0.078,  52.0000    ,  52.0000    ,  4.03103    , "CONC", "data                      ", "calculated_from_conc      "
  73,     43433,    0.3600,   251.900,      0.077,  356.000    ,  356.000    ,  27.3215    , "CONC", "data                      ", "calculated_from_conc      "
  74,     43434,    0.3650,   258.450,      0.076,  272.000    ,  272.000    ,  20.6530    , "CONC", "data                      ", "calculated_from_conc      "
  75,     43435,    0.3700,   265.070,      0.075,  112.000    ,  112.000    ,  8.42739    , "CONC", "data                      ", "calculated_from_conc      "
