site0256,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,     94427,    0.0000,   -54.000,      0.157, 0.940000    ,  5.98780    , 0.940000    , "INFL", "calculated_from_influx    ", "data                      "
   2,     94428,    0.0100,   -47.630,      0.156,  2.01000    ,  12.8841    ,  2.01000    , "INFL", "calculated_from_influx    ", "data                      "
   3,     94429,    0.0200,   -41.180,      0.154,  2.29000    ,  14.8736    ,  2.29000    , "INFL", "calculated_from_influx    ", "data                      "
   4,     94430,    0.0300,   -34.640,      0.152,  4.07000    ,  26.7806    ,  4.07000    , "INFL", "calculated_from_influx    ", "data                      "
   5,     94431,    0.0400,   -28.020,      0.150,  7.44000    ,  49.5876    ,  7.44000    , "INFL", "calculated_from_influx    ", "data                      "
   6,     94432,    0.0500,   -21.310,      0.148,  11.0300    ,  74.5077    ,  11.0300    , "INFL", "calculated_from_influx    ", "data                      "
   7,     94433,    0.0600,   -14.510,      0.146,  13.2100    ,  90.4224    ,  13.2100    , "INFL", "calculated_from_influx    ", "data                      "
   8,     94434,    0.0700,    -7.620,      0.144,  15.2000    ,  105.336    ,  15.2000    , "INFL", "calculated_from_influx    ", "data                      "
   9,     94435,    0.0800,    -0.650,      0.143,  18.9900    ,  133.025    ,  18.9900    , "INFL", "calculated_from_influx    ", "data                      "
  10,     94436,    0.0900,     6.390,      0.141,  20.4500    ,  144.991    ,  20.4500    , "INFL", "calculated_from_influx    ", "data                      "
  11,     94437,    0.1000,    13.530,      0.139,  22.2900    ,  160.042    ,  22.2900    , "INFL", "calculated_from_influx    ", "data                      "
  12,     94438,    0.1100,    20.750,      0.138,  18.7500    ,  136.219    ,  18.7500    , "INFL", "calculated_from_influx    ", "data                      "
  13,     94439,    0.1200,    28.060,      0.136,  15.5600    ,  114.366    ,  15.5600    , "INFL", "calculated_from_influx    ", "data                      "
  14,     94440,    0.1300,    35.450,      0.135,  18.8700    ,  140.204    ,  18.8700    , "INFL", "calculated_from_influx    ", "data                      "
  15,     94441,    0.1400,    42.920,      0.133,  29.7800    ,  223.648    ,  29.7800    , "INFL", "calculated_from_influx    ", "data                      "
  16,     94442,    0.1500,    50.470,      0.132,  51.8700    ,  393.694    ,  51.8700    , "INFL", "calculated_from_influx    ", "data                      "
  17,     94443,    0.1600,    58.100,      0.130,  44.9700    ,  345.145    ,  44.9700    , "INFL", "calculated_from_influx    ", "data                      "
  18,     94444,    0.1700,    65.820,      0.129,  43.4800    ,  337.405    ,  43.4800    , "INFL", "calculated_from_influx    ", "data                      "
  19,     94445,    0.1800,    73.620,      0.128,  42.4000    ,  332.204    ,  42.4000    , "INFL", "calculated_from_influx    ", "data                      "
  20,     94446,    0.1900,    81.490,      0.126,  39.8400    ,  315.333    ,  39.8400    , "INFL", "calculated_from_influx    ", "data                      "
  21,     94447,    0.2000,    89.450,      0.125,  43.6800    ,  349.222    ,  43.6800    , "INFL", "calculated_from_influx    ", "data                      "
  22,     94448,    0.2100,    97.480,      0.124,  85.0500    ,  686.353    ,  85.0500    , "INFL", "calculated_from_influx    ", "data                      "
  23,     94449,    0.2200,   105.590,      0.123,  92.5400    ,  754.200    ,  92.5400    , "INFL", "calculated_from_influx    ", "data                      "
  24,     94450,    0.2300,   113.780,      0.122,  32.0500    ,  263.772    ,  32.0500    , "INFL", "calculated_from_influx    ", "data                      "
  25,     94451,    0.2400,   122.050,      0.120,  13.3000    ,  110.523    ,  13.3000    , "INFL", "calculated_from_influx    ", "data                      "
  26,     94452,    0.2500,   130.400,      0.119,  3.91000    ,  32.7854    ,  3.91000    , "INFL", "calculated_from_influx    ", "data                      "
  27,     94453,    0.2600,   138.820,      0.118,  5.53000    ,  46.7837    ,  5.53000    , "INFL", "calculated_from_influx    ", "data                      "
  28,     94454,    0.2700,   147.320,      0.117,  4.78000    ,  40.7973    ,  4.78000    , "INFL", "calculated_from_influx    ", "data                      "
  29,     94455,    0.2800,   155.890,      0.116,  3.46000    ,  29.7906    ,  3.46000    , "INFL", "calculated_from_influx    ", "data                      "
  30,     94456,    0.2900,   164.540,      0.115,  3.78000    ,  32.8292    ,  3.78000    , "INFL", "calculated_from_influx    ", "data                      "
  31,     94457,    0.3000,   173.260,      0.114,  5.45000    ,  47.7421    ,  5.45000    , "INFL", "calculated_from_influx    ", "data                      "
  32,     94458,    0.3100,   182.060,      0.113,  6.98000    ,  61.6684    ,  6.98000    , "INFL", "calculated_from_influx    ", "data                      "
  33,     94459,    0.3200,   190.930,      0.112,  13.4100    ,  119.483    ,  13.4100    , "INFL", "calculated_from_influx    ", "data                      "
  34,     94460,    0.3300,   199.880,      0.111,  14.1900    ,  127.426    ,  14.1900    , "INFL", "calculated_from_influx    ", "data                      "
  35,     94461,    0.3400,   208.890,      0.110,  7.37000    ,  66.6985    ,  7.37000    , "INFL", "calculated_from_influx    ", "data                      "
  36,     94462,    0.3500,   217.980,      0.110,  5.12000    ,  46.7455    ,  5.12000    , "INFL", "calculated_from_influx    ", "data                      "
